component_id	start_pos	end_pos	span_bp	n_sites	n_fragments	solver	objective	margin
phase6_comp_1	20000722	20000735	14	2	22	exact	0.000000	17.100006999999998
phase6_comp_2	20002119	20002367	249	2	7	exact	0.000000	4.966669
phase6_comp_3	20003460	20003940	481	2	1	exact	0.000000	0.366667
phase6_comp_4	20004427	20004492	66	2	12	exact	0.000000	8.400004
phase6_comp_5	20011095	20012090	996	5	28	exact	1.533334	2.300001
phase6_comp_6	20014299	20014708	410	2	1	exact	0.000000	0.366667
phase6_comp_7	20015629	20017735	2107	8	49	exact	0.000000	1.533334
phase6_comp_8	20018517	20020096	1580	6	20	exact	0.000000	1.133334
phase6_comp_9	20021188	20021555	368	2	3	exact	0.000000	1.5000010000000001
phase6_comp_10	20023951	20024314	364	2	1	exact	0.000000	0.766667
phase6_comp_11	20026509	20026881	373	3	17	exact	0.000000	7.2666699999999995
phase6_comp_12	20027493	20028969	1477	5	18	exact	0.000000	0.766667
phase6_comp_13	20030030	20030580	551	2	2	exact	0.000000	1.533334
phase6_comp_14	20034340	20034415	76	2	17	exact	0.000000	13.100005
phase6_comp_15	20035921	20036208	288	2	1	exact	0.000000	0.766667
phase6_comp_16	20041737	20042355	619	2	1	exact	0.000000	0.766667
phase6_comp_17	20043226	20043457	232	2	4	exact	0.000000	2.666668
phase6_comp_18	20044441	20045059	619	3	7	exact	0.000000	3.066668
phase6_comp_19	20047928	20048167	240	2	2	exact	0.000000	1.533334
phase6_comp_20	20049792	20050368	577	2	1	exact	0.000000	0.366667
phase6_comp_21	20054086	20054552	467	2	2	exact	0.000000	1.533334
phase6_comp_22	20057888	20058821	934	2	1	exact	0.000000	0.766667
phase6_comp_23	20061817	20062878	1062	4	26	exact	0.000000	1.133334
phase6_comp_24	20065009	20065261	253	4	41	exact	0.000000	11.466671999999999
phase6_comp_25	20066809	20067577	769	3	23	exact	0.000000	0.766667
phase6_comp_26	20069555	20070283	729	3	13	exact	0.000000	1.533334
phase6_comp_27	20072240	20073892	1653	7	42	exact	0.000000	0.766667
