component_id	start_pos	end_pos	span_bp	n_sites	n_fragments	solver	objective	margin
phase6_comp_1	20000722	20000735	14	2	32	exact	0.000000	24.766677
phase6_comp_2	20002119	20002367	249	2	9	exact	0.000000	6.100003
phase6_comp_3	20003460	20003940	481	2	2	exact	0.000000	1.133334
phase6_comp_4	20004427	20004492	66	2	17	exact	0.000000	12.233338999999999
phase6_comp_5	20011095	20012090	996	5	35	exact	1.533334	2.300001
phase6_comp_6	20014299	20014708	410	2	3	exact	0.000000	1.900001
phase6_comp_7	20015629	20017735	2107	8	61	exact	0.000000	1.533334
phase6_comp_8	20018517	20020096	1580	6	34	exact	0.000000	1.133334
phase6_comp_9	20021188	20021555	368	2	5	exact	0.000000	3.033335
phase6_comp_10	20023951	20024314	364	2	2	exact	0.000000	1.533334
phase6_comp_11	20026509	20026881	373	3	22	exact	0.000000	7.2666699999999995
phase6_comp_12	20027493	20028969	1477	5	30	exact	0.000000	0.766667
phase6_comp_13	20030030	20030580	551	2	2	exact	0.000000	1.533334
phase6_comp_14	20034340	20034415	76	2	22	exact	0.000000	16.766673
phase6_comp_15	20035564	20036208	645	3	6	exact	0.000000	3.066668
phase6_comp_16	20041018	20042355	1338	3	2	exact	0.000000	0.766667
phase6_comp_17	20043226	20043457	232	2	6	exact	0.000000	3.800002
phase6_comp_18	20044441	20045059	619	3	12	exact	0.000000	4.966669
phase6_comp_19	20047928	20048167	240	2	3	exact	0.000000	2.300001
phase6_comp_20	20049792	20050368	577	2	1	exact	0.000000	0.366667
phase6_comp_21	20054086	20054552	467	2	5	exact	0.000000	3.833335
phase6_comp_22	20057888	20058821	934	2	1	exact	0.000000	0.766667
phase6_comp_23	20061817	20062878	1062	4	34	exact	0.000000	2.666668
phase6_comp_24	20065009	20065261	253	4	66	exact	0.000000	14.900007
phase6_comp_25	20066809	20067577	769	3	28	exact	0.000000	1.533334
phase6_comp_26	20069555	20070283	729	3	15	exact	0.000000	1.533334
phase6_comp_27	20072240	20073892	1653	7	60	exact	0.000000	0.766667
phase6_comp_28	20077847	20079275	1429	8	79	exact	0.000000	2.300001
phase6_comp_29	20082321	20082390	70	2	19	exact	0.366667	11.833339
phase6_comp_30	20092059	20092499	441	3	26	exact	0.000000	3.066668
phase6_comp_31	20093274	20093288	15	2	30	exact	0.000000	22.033343
phase6_comp_32	20095047	20095438	392	4	34	exact	0.000000	5.366669
phase6_comp_33	20097158	20097298	141	2	4	exact	0.000000	3.066668
phase6_comp_34	20099233	20100169	937	5	63	exact	0.000000	2.300001
phase6_comp_35	20102357	20103670	1314	5	22	exact	0.000000	2.300001
phase6_comp_36	20104889	20105440	552	2	3	exact	0.000000	2.300001
phase6_comp_37	20109722	20109813	92	2	24	exact	0.000000	18.400008
phase6_comp_38	20110645	20110998	354	2	4	exact	0.000000	3.066668
phase6_comp_39	20111808	20112368	561	3	19	exact	0.000000	3.066668
phase6_comp_40	20115489	20115666	178	2	7	exact	0.000000	5.366669
phase6_comp_41	20117296	20117330	35	2	33	exact	0.000000	25.766677
phase6_comp_42	20118118	20118581	464	3	35	exact	0.000000	3.066668
phase6_comp_43	20121417	20122147	731	3	3	exact	0.000000	0.766667
phase6_comp_44	20124998	20125730	733	2	1	exact	0.000000	0.766667
phase6_comp_45	20127355	20128659	1305	10	126	exact	0.000000	6.133336
phase6_comp_46	20129449	20131738	2290	15	175	exact	0.000000	0.366667
phase6_comp_47	20133456	20134122	667	2	2	exact	0.000000	1.533334
phase6_comp_48	20135489	20135982	494	2	1	exact	0.000000	0.766667
phase6_comp_49	20137677	20139218	1542	5	49	exact	0.000000	0.766667
phase6_comp_50	20141151	20141583	433	4	36	exact	0.000000	3.833335
phase6_comp_51	20144776	20147688	2913	11	95	exact	0.766667	0.3666670000000001
phase6_comp_52	20148438	20149116	679	5	37	exact	0.000000	2.666668
phase6_comp_53	20149886	20150582	697	2	1	exact	0.000000	0.766667
phase6_comp_54	20151242	20151776	535	4	43	exact	0.000000	3.433335
phase6_comp_55	20156103	20156259	157	3	24	exact	0.000000	4.600002
phase6_comp_56	20157140	20157735	596	7	77	exact	0.000000	9.166671
phase6_comp_57	20158626	20159010	385	2	7	exact	0.000000	4.966669
phase6_comp_58	20159869	20160845	977	5	59	exact	0.000000	0.766667
phase6_comp_59	20169221	20169776	556	4	40	exact	0.000000	3.433335
phase6_comp_60	20170442	20170810	369	2	7	exact	0.000000	5.366669
phase6_comp_61	20172766	20173794	1029	6	75	exact	0.000000	2.300001
phase6_comp_62	20175098	20179181	4084	14	113	exact	0.000000	0.766667
phase6_comp_63	20183473	20184883	1411	5	37	exact	0.000000	0.766667
phase6_comp_64	20186760	20187436	677	4	35	exact	0.000000	7.66667
phase6_comp_65	20189538	20191980	2443	31	300	greedy_refine	0.766667	
phase6_comp_66	20205063	20206338	1276	4	38	exact	0.000000	0.766667
phase6_comp_67	20215206	20215436	231	2	7	exact	0.000000	5.366669
phase6_comp_68	20216474	20216636	163	3	45	exact	0.000000	12.266672
phase6_comp_69	20218257	20218309	53	2	37	exact	0.000000	27.166679
phase6_comp_70	20220302	20222840	2539	9	79	exact	0.000000	0.766667
phase6_comp_71	20226112	20228417	2306	6	17	exact	0.000000	0.366667
phase6_comp_72	20229281	20230157	877	4	27	exact	0.000000	1.5000010000000001
phase6_comp_73	20230737	20232125	1389	4	12	exact	0.000000	0.766667
phase6_comp_74	20234321	20234440	120	2	16	exact	0.000000	11.866672
phase6_comp_75	20245708	20245933	226	2	7	exact	0.000000	5.366669
phase6_comp_76	20260868	20262284	1417	5	34	exact	0.000000	0.766667
phase6_comp_77	20278886	20278949	64	3	42	exact	0.000000	20.712229
phase6_comp_78	20280166	20281264	1099	4	36	exact	0.000000	3.267224
phase6_comp_79	20285372	20285954	583	7	82	exact	0.000000	0.766667
phase6_comp_80	20287845	20288247	403	9	83	exact	0.000000	17.076117
phase6_comp_81	20290948	20291636	689	3	7	exact	0.000000	1.900001
phase6_comp_82	20292916	20294070	1155	5	31	exact	0.000000	0.766667
phase6_comp_83	20295705	20296209	505	3	12	exact	0.000000	3.033335
phase6_comp_84	20307439	20308003	565	2	2	exact	0.000000	1.277778
phase6_comp_85	20313823	20314753	931	3	8	exact	0.000000	0.686111
phase6_comp_86	20316141	20316583	443	3	15	exact	0.000000	4.200002
phase6_comp_87	20319470	20320080	611	2	2	exact	0.000000	1.533334
phase6_comp_88	20321228	20321406	179	3	36	exact	0.000000	7.914446
phase6_comp_89	20323902	20323930	29	2	33	exact	0.000000	25.300010999999998
phase6_comp_90	20328070	20328406	337	2	2	exact	0.000000	1.022222
phase6_comp_91	20335688	20336152	465	2	1	exact	0.000000	0.511111
phase6_comp_92	20337902	20337911	10	2	27	exact	0.000000	19.75445
phase6_comp_93	20350029	20350813	785	2	1	exact	0.000000	0.146667
phase6_comp_94	20361361	20361820	460	2	3	exact	0.000000	2.108334
phase6_comp_95	20363513	20363826	314	2	4	exact	0.000000	2.2066660000000002
phase6_comp_96	20384399	20385336	938	6	51	exact	0.000000	5.7333359999999995
phase6_comp_97	20386488	20388202	1715	5	30	exact	0.766667	1.133334
phase6_comp_98	20389222	20389224	3	2	24	exact	0.000000	16.000008
phase6_comp_99	20396846	20397049	204	3	39	exact	0.000000	13.366673
phase6_comp_100	20397829	20401050	3222	20	185	greedy_refine	0.766667	
phase6_comp_101	20407686	20408110	425	2	9	exact	0.000000	5.700003
phase6_comp_102	20410305	20410731	427	2	6	exact	0.000000	3.400002
phase6_comp_103	20413501	20414714	1214	6	43	exact	0.000000	2.300001
phase6_comp_104	20416500	20416600	101	2	9	exact	0.000000	6.100003
phase6_comp_105	20417863	20418308	446	3	48	exact	0.000000	3.807779
phase6_comp_106	20419776	20421266	1491	8	80	exact	0.000000	2.300001
phase6_comp_107	20421909	20422553	645	3	28	exact	0.000000	3.833335
phase6_comp_108	20423382	20423776	395	2	2	exact	0.000000	1.133334
phase6_comp_109	20425314	20425532	219	3	21	exact	0.000000	6.900003
phase6_comp_110	20433563	20433955	393	2	4	exact	0.000000	3.066668
phase6_comp_111	20434682	20435628	947	7	93	exact	0.000000	9.966671
phase6_comp_112	20436436	20437151	716	2	2	exact	0.000000	0.733334
phase6_comp_113	20439627	20441888	2262	12	144	exact	0.000000	3.033335
phase6_comp_114	20445685	20445969	285	2	6	exact	0.000000	4.200002
phase6_comp_115	20446696	20446934	239	3	27	exact	0.766667	7.66667
phase6_comp_116	20457358	20457643	286	3	37	exact	0.000000	3.066668
