feature	gain	weight
candidate_accepted_by_rule	0.48510730266571045	2.0
panel_confidence	3.415571928024292	37.0
panel_margin	5.657573699951172	88.0
panel_support	2.0287106037139893	60.0
panel_conflict	2.2835772037506104	88.0
support_conflict_ratio	2.9752092361450195	64.0
panel_haplotypes	1.89439857006073	15.0
anchors	0.0	0.0
best_vs_second_margin	2.1310389041900635	141.0
n_block_candidates	2.095975160598755	33.0
log_panel_margin	3.6037285327911377	12.0
log_panel_support	2.089056968688965	7.0
log_panel_conflict	2.164304256439209	16.0
log_best_vs_second_margin	2.7590484619140625	24.0
panel_margin_per_haplotype	7.030289173126221	64.0
panel_support_per_haplotype	4.270082950592041	60.0
panel_conflict_per_haplotype	1.685922384262085	79.0
confidence_x_log_margin	12.239306449890137	95.0
confidence_x_log_support_conflict_ratio	2.5567328929901123	11.0
nearest_phase6_anchor_dist_bp	2.435624599456787	128.0
nearest_same_block_anchor_dist_bp	1.6955759525299072	64.0
left_anchors_20kb	1.554253339767456	13.0
right_anchors_20kb	0.9442735910415649	8.0
left_nearest_anchor_dist_bp	1.9985586404800415	54.0
right_nearest_anchor_dist_bp	1.5439207553863525	30.0
left_anchors_50kb	1.0662976503372192	5.0
right_anchors_50kb	0.0	0.0
phase6_block_anchor_count	1.7562830448150635	14.0
phase6_block_span_bp	1.7132089138031006	86.0
phase6_block_density_per_kb	1.5078363418579102	116.0
log_phase6_block_span_bp	1.562938928604126	13.0
log_phase6_block_anchor_count	1.6945009231567383	5.0
