feature	gain	weight
candidate_accepted_by_rule	0.0	0.0
panel_confidence	3.7698142528533936	65.0
panel_margin	2.3405990600585938	11.0
panel_support	0.9279964566230774	8.0
panel_conflict	2.6755075454711914	52.0
support_conflict_ratio	3.822641372680664	34.0
panel_haplotypes	0.0	0.0
anchors	0.0	0.0
best_vs_second_margin	1.4520971775054932	57.0
n_block_candidates	1.3477281332015991	7.0
log_panel_margin	2.127682685852051	3.0
log_panel_support	1.075663685798645	1.0
log_panel_conflict	3.274279832839966	5.0
log_best_vs_second_margin	1.5010250806808472	11.0
panel_margin_per_haplotype	2.478416681289673	44.0
panel_support_per_haplotype	1.475233554840088	31.0
panel_conflict_per_haplotype	1.516700267791748	36.0
confidence_x_log_margin	3.2143313884735107	54.0
confidence_x_log_support_conflict_ratio	5.9150238037109375	3.0
nearest_phase6_anchor_dist_bp	1.9555076360702515	54.0
nearest_same_block_anchor_dist_bp	1.3685466051101685	19.0
left_anchors_20kb	1.9260501861572266	1.0
right_anchors_20kb	1.999829888343811	8.0
left_nearest_anchor_dist_bp	1.52481210231781	31.0
right_nearest_anchor_dist_bp	0.9265220165252686	6.0
left_anchors_50kb	1.8110415935516357	2.0
right_anchors_50kb	0.9831507205963135	2.0
phase6_block_anchor_count	1.4148904085159302	10.0
phase6_block_span_bp	1.2798022031784058	14.0
phase6_block_density_per_kb	1.2726131677627563	46.0
log_phase6_block_span_bp	1.025244116783142	2.0
log_phase6_block_anchor_count	0.0	0.0
donor_anchor_count	0.0	0.0
donor_panel_usable_anchors	1.0585306882858276	2.0
donor_support_plus	2.352628469467163	45.0
donor_support_minus	1.8907930850982666	34.0
donor_total_support	1.292696475982666	20.0
donor_margin	40.18706512451172	90.0
donor_confidence	6.442336559295654	11.0
donor_entropy	8.48349380493164	36.0
donor_top1_score	1.9105820655822754	27.0
donor_top2_score	1.8523459434509277	9.0
donor_top_margin	1.3640217781066895	27.0
donor_effective_n	4.684328556060791	105.0
donor_left_support_plus	1.8270988464355469	5.0
donor_left_support_minus	1.8665069341659546	33.0
donor_right_support_plus	0.9545262455940247	5.0
donor_right_support_minus	2.1878373622894287	21.0
donor_left_confidence	1.5670404434204102	8.0
donor_right_confidence	1.0706144571304321	6.0
donor_mean_anchor_dist_bp	2.101569890975952	4.0
donor_min_anchor_dist_bp	2.5190811157226562	4.0
donor_max_anchor_dist_bp	1.5487871170043945	20.0
hmm_like_log_margin	7.124608993530273	113.0
log_donor_margin	22.66807746887207	12.0
log_donor_total_support	0.634314775466919	4.0
log_donor_top1_score	3.2177915573120117	2.0
log_donor_effective_n	8.218179702758789	18.0
abs_hmm_like_log_margin	6.352600574493408	58.0
