method	scope	feature	bin	n_sites	n_correct	n_wrong	accuracy_pct	error_rate	mean_confidence	mean_margin	mean_anchors	mean_donors	calibration_error
AWPhase_Phase6C_Rust_WMEC	all_phased	all	all	13920	11085	2835	79.63362068965517	0.2036637931034483	0.9830896808908048	0.057282344324712665	743.8303879310345	0.0	0.18675347399425313
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	16_31	49	46	3	93.87755102040816	0.061224489795918324	0.9777773877551019	3.7598651836734707	16.346938775510203	0.0	0.03900187755102025
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	2_3	33	31	2	93.93939393939394	0.06060606060606055	0.9735286666666667	7.200002303030303	2.4545454545454546	0.0	0.03413472727272726
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	4_7	66	66	0	100.0	0.0	0.9789356818181819	2.765707712121213	5.242424242424242	0.0	-0.021064318181818087
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	8_15	34	34	0	100.0	0.0	1.0	5.67647217647059	11.705882352941176	0.0	0.0
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	ge32	13738	10908	2830	79.40020381423788	0.2059979618576212	0.983109700465861	0.0	753.5662396273111	0.0	0.1891076623234822
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.50_0.70	293	150	143	51.19453924914676	0.48805460750853247	0.6040994402730376	0.018316279863481222	830.3071672354948	0.0	0.0921540477815701
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.70_0.82	195	89	106	45.64102564102564	0.5435897435897437	0.7650112769230772	0.06552139487179483	774.5128205128206	0.0	0.30860102051282085
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.82_0.90	309	194	115	62.7831715210356	0.37216828478964403	0.8657122977346278	0.013700113268608401	842.6537216828478	0.0	0.2378805825242718
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.90_0.98	605	434	171	71.73553719008264	0.28264462809917357	0.9487206247933881	0.06901379669421484	799.0165289256198	0.0	0.2313652528925617
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.98_1.00	107	78	29	72.89719626168224	0.2710280373831776	0.9901770560747661	0.02336450467289719	701.1682242990654	0.0	0.26120509345794374
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	1.00	12411	10140	2271	81.70171621948272	0.18298283780517288	1.0	0.05887843098863909	736.5239706711787	0.0	0.18298283780517288
AWPhase_Phase6C_Rust_WMEC	all_phased	donors_bin	lt2	13920	11085	2835	79.63362068965517	0.2036637931034483	0.9830896808908048	0.057282344324712665	743.8303879310345	0.0	0.18675347399425313
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	1_5	65	63	2	96.92307692307692	0.03076923076923077	0.9816879538461538	2.298513323076923	5.7384615384615385	0.0	0.012457184615384587
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	5_25	60	60	0	100.0	0.0	0.9929279666666667	10.096113949999996	9.766666666666667	0.0	-0.007072033333333283
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	lt1	13795	10962	2833	79.46357375860819	0.20536426241391814	0.9830534949619427	0.003059081551286699	750.5009061254077	0.0	0.18841775737586086
AWPhase_Phase6C_Rust_WMEC	read_backbone	all	all	13920	11085	2835	79.63362068965517	0.2036637931034483	0.9830896808908048	0.057282344324712665	743.8303879310345	0.0	0.18675347399425313
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	16_31	49	46	3	93.87755102040816	0.061224489795918324	0.9777773877551019	3.7598651836734707	16.346938775510203	0.0	0.03900187755102025
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	2_3	33	31	2	93.93939393939394	0.06060606060606055	0.9735286666666667	7.200002303030303	2.4545454545454546	0.0	0.03413472727272726
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	4_7	66	66	0	100.0	0.0	0.9789356818181819	2.765707712121213	5.242424242424242	0.0	-0.021064318181818087
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	8_15	34	34	0	100.0	0.0	1.0	5.67647217647059	11.705882352941176	0.0	0.0
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	ge32	13738	10908	2830	79.40020381423788	0.2059979618576212	0.983109700465861	0.0	753.5662396273111	0.0	0.1891076623234822
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.50_0.70	293	150	143	51.19453924914676	0.48805460750853247	0.6040994402730376	0.018316279863481222	830.3071672354948	0.0	0.0921540477815701
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.70_0.82	195	89	106	45.64102564102564	0.5435897435897437	0.7650112769230772	0.06552139487179483	774.5128205128206	0.0	0.30860102051282085
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.82_0.90	309	194	115	62.7831715210356	0.37216828478964403	0.8657122977346278	0.013700113268608401	842.6537216828478	0.0	0.2378805825242718
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.90_0.98	605	434	171	71.73553719008264	0.28264462809917357	0.9487206247933881	0.06901379669421484	799.0165289256198	0.0	0.2313652528925617
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.98_1.00	107	78	29	72.89719626168224	0.2710280373831776	0.9901770560747661	0.02336450467289719	701.1682242990654	0.0	0.26120509345794374
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	1.00	12411	10140	2271	81.70171621948272	0.18298283780517288	1.0	0.05887843098863909	736.5239706711787	0.0	0.18298283780517288
AWPhase_Phase6C_Rust_WMEC	read_backbone	donors_bin	lt2	13920	11085	2835	79.63362068965517	0.2036637931034483	0.9830896808908048	0.057282344324712665	743.8303879310345	0.0	0.18675347399425313
AWPhase_Phase6C_Rust_WMEC	read_backbone	margin_bin	1_5	65	63	2	96.92307692307692	0.03076923076923077	0.9816879538461538	2.298513323076923	5.7384615384615385	0.0	0.012457184615384587
AWPhase_Phase6C_Rust_WMEC	read_backbone	margin_bin	5_25	60	60	0	100.0	0.0	0.9929279666666667	10.096113949999996	9.766666666666667	0.0	-0.007072033333333283
AWPhase_Phase6C_Rust_WMEC	read_backbone	margin_bin	lt1	13795	10962	2833	79.46357375860819	0.20536426241391814	0.9830534949619427	0.003059081551286699	750.5009061254077	0.0	0.18841775737586086
AWPhase_Phase8_PBWT	all_phased	all	all	15196	12104	3092	79.65254014214267	0.2034745985785733	0.9837030893656237	151.02098655475086	683.3167938931298	10.745261911029218	0.18717768794419698
AWPhase_Phase8_PBWT	all_phased	anchors_bin	16_31	1271	1028	243	80.88119590873328	0.19118804091266717	0.9907382659323367	1781.4271541817445	23.400472069236823	123.03383162863886	0.18192630684500388
AWPhase_Phase8_PBWT	all_phased	anchors_bin	2_3	36	33	3	91.66666666666667	0.08333333333333337	0.975010138888889	14.138660888888891	2.4444444444444446	10.583333333333334	0.05834347222222236
AWPhase_Phase8_PBWT	all_phased	anchors_bin	4_7	74	72	2	97.29729729729729	0.027027027027026973	0.9786927567567568	28.57388802702704	5.27027027027027	13.837837837837839	0.005719783783783794
AWPhase_Phase8_PBWT	all_phased	anchors_bin	8_15	77	63	14	81.81818181818181	0.18181818181818177	0.9823261818181819	364.9031066883119	12.584415584415584	71.48051948051948	0.16414436363636364
AWPhase_Phase8_PBWT	all_phased	anchors_bin	ge32	13738	10908	2830	79.40020381423788	0.2059979618576212	0.983109700465861	0.0	753.5662396273111	0.0	0.1891076623234822
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.50_0.70	293	150	143	51.19453924914676	0.48805460750853247	0.6040994402730376	0.018316279863481222	830.3071672354948	0.0	0.0921540477815701
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.70_0.82	195	89	106	45.64102564102564	0.5435897435897437	0.7650112769230772	0.06552139487179483	774.5128205128206	0.0	0.30860102051282085
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.82_0.90	346	220	126	63.58381502890173	0.36416184971098264	0.8658787312138725	124.11461456069362	754.9335260115607	13.6878612716763	0.23004058092485513
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.90_0.98	746	537	209	71.98391420911528	0.28016085790884715	0.9503189892761397	252.37733388337793	652.0777479892762	24.135388739946382	0.23047984718498682
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.98_1.00	234	173	61	73.93162393162393	0.26068376068376065	0.9899222393162384	875.6316634102564	333.2008547008547	69.47008547008546	0.250605999999999
AWPhase_Phase8_PBWT	all_phased	confidence_bin	1.00	13382	10935	2447	81.71424301300254	0.1828575698699746	1.0	138.90164485062	684.7814975340009	9.287699895381856	0.1828575698699746
AWPhase_Phase8_PBWT	all_phased	donors_bin	ge32	1276	1019	257	79.858934169279	0.20141065830721006	0.9903948181818182	1797.897759759403	23.16849529780564	127.96630094043887	0.19180547648902824
AWPhase_Phase8_PBWT	all_phased	donors_bin	lt2	13920	11085	2835	79.63362068965517	0.2036637931034483	0.9830896808908048	0.057282344324712665	743.8303879310345	0.0	0.18675347399425313
AWPhase_Phase8_PBWT	all_phased	margin_bin	1_5	65	63	2	96.92307692307692	0.03076923076923077	0.9816879538461538	2.298513323076923	5.7384615384615385	0.0	0.012457184615384587
AWPhase_Phase8_PBWT	all_phased	margin_bin	25_100	2	1	1	50.0	0.5	0.9755959999999999	73.005848	13.0	106.5	0.4755959999999999
AWPhase_Phase8_PBWT	all_phased	margin_bin	5_25	60	60	0	100.0	0.0	0.9929279666666667	10.096113949999996	9.766666666666667	0.0	-0.007072033333333283
AWPhase_Phase8_PBWT	all_phased	margin_bin	ge100	1274	1018	256	79.90580847723704	0.2009419152276295	0.9904180502354788	1800.6055963555712	23.184458398744113	128.0	0.1913599654631083
AWPhase_Phase8_PBWT	all_phased	margin_bin	lt1	13795	10962	2833	79.46357375860819	0.20536426241391814	0.9830534949619427	0.003059081551286699	750.5009061254077	0.0	0.18841775737586086
AWPhase_Phase8_PBWT	panel_filled	all	all	1276	1019	257	79.858934169279	0.20141065830721006	0.9903948181818182	1797.897759759403	23.16849529780564	127.96630094043887	0.19180547648902824
AWPhase_Phase8_PBWT	panel_filled	anchors_bin	16_31	1222	982	240	80.36006546644845	0.1963993453355155	0.9912579738134207	1852.7084120875595	23.683306055646483	127.96726677577742	0.18765731914893624
AWPhase_Phase8_PBWT	panel_filled	anchors_bin	2_3	3	2	1	66.66666666666667	0.33333333333333337	0.9913063333333333	90.46390533333333	2.3333333333333335	127.0	0.32463966666666666
AWPhase_Phase8_PBWT	panel_filled	anchors_bin	4_7	8	6	2	75.0	0.25	0.9766886250000001	241.491375625	5.5	128.0	0.2266886250000001
