method	scope	feature	bin	n_sites	n_correct	n_wrong	accuracy_pct	error_rate	mean_confidence	mean_margin	mean_anchors	mean_donors	calibration_error
AWPhase_Phase6C_Rust_WMEC	all_phased	all	all	13920	13286	634	95.44540229885058	0.04554597701149421	0.9911308991379308	0.07957640984195395	121.92420977011494	0.0	0.03667687614942505
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	16_31	123	120	3	97.5609756097561	0.024390243902439046	0.990916056910569	4.0208681788617895	18.121951219512194	0.0	0.0153063008130081
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	2_3	33	31	2	93.93939393939394	0.06060606060606055	0.9735286666666667	7.200002303030303	2.4545454545454546	0.0	0.03413472727272726
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	4_7	66	66	0	100.0	0.0	0.9789356818181819	2.765707712121213	5.242424242424242	0.0	-0.021064318181818087
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	8_15	34	34	0	100.0	0.0	1.0	5.67647217647059	11.705882352941176	0.0	0.0
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	ge32	13664	13035	629	95.39666276346604	0.04603337236533955	0.9912121809133488	0.0	123.98499707259953	0.0	0.03724555327868839
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.50_0.70	160	86	74	53.75	0.4625	0.6066723750000002	0.033541687499999986	121.4	0.0	0.06917237500000017
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.70_0.82	106	55	51	51.886792452830186	0.4811320754716981	0.7604313113207547	0.12053464150943387	119.84905660377359	0.0	0.24156338679245282
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.82_0.90	117	76	41	64.95726495726495	0.3504273504273504	0.8628376324786328	0.03618235042735039	117.6923076923077	0.0	0.21326498290598317
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.90_0.98	384	327	57	85.15625	0.1484375	0.9530090416666671	0.10873267447916661	121.47395833333333	0.0	0.10144654166666711
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.98_1.00	104	98	6	94.23076923076923	0.05769230769230771	0.9900129038461536	0.024038480769230763	120.45192307692308	0.0	0.0477052115384613
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	1.00	13049	12644	405	96.89631389378496	0.03103686106215031	1.0	0.07978186826576741	122.0104222545789	0.0	0.03103686106215031
AWPhase_Phase6C_Rust_WMEC	all_phased	donors_bin	lt2	13920	13286	634	95.44540229885058	0.04554597701149421	0.9911308991379308	0.07957640984195395	121.92420977011494	0.0	0.03667687614942505
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	1_5	99	97	2	97.97979797979798	0.02020202020202022	0.9879769393939395	2.381178727272727	9.787878787878787	0.0	0.008178959595959712
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	5_25	76	76	0	100.0	0.0	0.9944168157894738	10.91798553947367	11.078947368421053	0.0	-0.005583184210526171
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	lt1	13745	13113	632	95.40196435067297	0.04598035649327026	0.9911354471444158	0.0030702095307384514	123.3447799199709	0.0	0.03711580363768607
AWPhase_Phase6C_Rust_WMEC	read_backbone	all	all	13920	13286	634	95.44540229885058	0.04554597701149421	0.9911308991379308	0.07957640984195395	121.92420977011494	0.0	0.03667687614942505
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	16_31	123	120	3	97.5609756097561	0.024390243902439046	0.990916056910569	4.0208681788617895	18.121951219512194	0.0	0.0153063008130081
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	2_3	33	31	2	93.93939393939394	0.06060606060606055	0.9735286666666667	7.200002303030303	2.4545454545454546	0.0	0.03413472727272726
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	4_7	66	66	0	100.0	0.0	0.9789356818181819	2.765707712121213	5.242424242424242	0.0	-0.021064318181818087
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	8_15	34	34	0	100.0	0.0	1.0	5.67647217647059	11.705882352941176	0.0	0.0
AWPhase_Phase6C_Rust_WMEC	read_backbone	anchors_bin	ge32	13664	13035	629	95.39666276346604	0.04603337236533955	0.9912121809133488	0.0	123.98499707259953	0.0	0.03724555327868839
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.50_0.70	160	86	74	53.75	0.4625	0.6066723750000002	0.033541687499999986	121.4	0.0	0.06917237500000017
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.70_0.82	106	55	51	51.886792452830186	0.4811320754716981	0.7604313113207547	0.12053464150943387	119.84905660377359	0.0	0.24156338679245282
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.82_0.90	117	76	41	64.95726495726495	0.3504273504273504	0.8628376324786328	0.03618235042735039	117.6923076923077	0.0	0.21326498290598317
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.90_0.98	384	327	57	85.15625	0.1484375	0.9530090416666671	0.10873267447916661	121.47395833333333	0.0	0.10144654166666711
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	0.98_1.00	104	98	6	94.23076923076923	0.05769230769230771	0.9900129038461536	0.024038480769230763	120.45192307692308	0.0	0.0477052115384613
AWPhase_Phase6C_Rust_WMEC	read_backbone	confidence_bin	1.00	13049	12644	405	96.89631389378496	0.03103686106215031	1.0	0.07978186826576741	122.0104222545789	0.0	0.03103686106215031
AWPhase_Phase6C_Rust_WMEC	read_backbone	donors_bin	lt2	13920	13286	634	95.44540229885058	0.04554597701149421	0.9911308991379308	0.07957640984195395	121.92420977011494	0.0	0.03667687614942505
AWPhase_Phase6C_Rust_WMEC	read_backbone	margin_bin	1_5	99	97	2	97.97979797979798	0.02020202020202022	0.9879769393939395	2.381178727272727	9.787878787878787	0.0	0.008178959595959712
AWPhase_Phase6C_Rust_WMEC	read_backbone	margin_bin	5_25	76	76	0	100.0	0.0	0.9944168157894738	10.91798553947367	11.078947368421053	0.0	-0.005583184210526171
AWPhase_Phase6C_Rust_WMEC	read_backbone	margin_bin	lt1	13745	13113	632	95.40196435067297	0.04598035649327026	0.9911354471444158	0.0030702095307384514	123.3447799199709	0.0	0.03711580363768607
AWPhase_Phase8_PBWT	all_phased	all	all	15203	14508	695	95.42853384200487	0.0457146615799513	0.9910388499638234	145.68492095343004	113.50023021772019	10.799250147997105	0.03675351154377471
AWPhase_Phase8_PBWT	all_phased	anchors_bin	16_31	1280	1224	56	95.625	0.043749999999999956	0.9910521281249997	1644.8238066570295	22.66328125	115.66875	0.03480212812499961
AWPhase_Phase8_PBWT	all_phased	anchors_bin	2_3	36	34	2	94.44444444444444	0.05555555555555558	0.975010138888889	14.138660888888891	2.4444444444444446	10.583333333333334	0.03056569444444457
AWPhase_Phase8_PBWT	all_phased	anchors_bin	4_7	75	75	0	100.0	0.0	0.9772017199999999	29.85972253333334	5.253333333333333	15.36	-0.02279828000000006
AWPhase_Phase8_PBWT	all_phased	anchors_bin	8_15	148	142	6	95.94594594594595	0.04054054054054057	0.9858322837837837	721.1142550810804	12.986486486486486	98.5945945945946	0.026372824324324307
AWPhase_Phase8_PBWT	all_phased	anchors_bin	ge32	13664	13033	631	95.38202576112413	0.04617974238875877	0.9912121809133488	0.0	123.98499707259953	0.0	0.03739192330210761
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.50_0.70	160	85	75	53.125	0.46875	0.6066723750000002	0.033541687499999986	121.4	0.0	0.07542237500000015
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.70_0.82	106	55	51	51.886792452830186	0.4811320754716981	0.7604313113207547	0.12053464150943387	119.84905660377359	0.0	0.24156338679245282
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.82_0.90	157	111	46	70.70063694267516	0.29299363057324845	0.8639269044585988	270.54426564968145	92.92356687898089	32.611464968152866	0.15692053503184722
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.90_0.98	531	464	67	87.38229755178908	0.1261770244821092	0.9544690979284366	354.1140633032015	93.54802259887006	35.35404896421846	0.0806461224105458
AWPhase_Phase8_PBWT	all_phased	confidence_bin	0.98_1.00	233	221	12	94.84978540772532	0.05150214592274682	0.9898314248927029	841.3402035708156	65.80257510729614	70.86695278969957	0.04133357081544975
