feature	gain	weight
candidate_accepted_by_rule	0.0	0.0
panel_confidence	3.512019634246826	59.0
panel_margin	1.1430716514587402	10.0
panel_support	1.4039257764816284	19.0
panel_conflict	1.5634464025497437	25.0
support_conflict_ratio	3.719761610031128	20.0
panel_haplotypes	0.8997707366943359	1.0
anchors	0.0	0.0
best_vs_second_margin	1.6383973360061646	44.0
n_block_candidates	1.0958093404769897	2.0
log_panel_margin	1.236356496810913	1.0
log_panel_support	2.072521448135376	3.0
log_panel_conflict	3.5648903846740723	2.0
log_best_vs_second_margin	1.6201238632202148	17.0
panel_margin_per_haplotype	2.235755205154419	33.0
panel_support_per_haplotype	1.9092440605163574	34.0
panel_conflict_per_haplotype	1.5364439487457275	26.0
confidence_x_log_margin	2.9325695037841797	33.0
confidence_x_log_support_conflict_ratio	1.6297062635421753	3.0
nearest_phase6_anchor_dist_bp	1.834147572517395	43.0
nearest_same_block_anchor_dist_bp	1.5919275283813477	7.0
left_anchors_20kb	2.478590726852417	5.0
right_anchors_20kb	0.8223345279693604	4.0
left_nearest_anchor_dist_bp	2.136898994445801	7.0
right_nearest_anchor_dist_bp	0.7749396562576294	5.0
left_anchors_50kb	0.0	0.0
right_anchors_50kb	0.8969588279724121	1.0
phase6_block_anchor_count	0.9680401682853699	3.0
phase6_block_span_bp	1.8621082305908203	12.0
phase6_block_density_per_kb	1.3017596006393433	35.0
log_phase6_block_span_bp	0.5915224552154541	2.0
log_phase6_block_anchor_count	0.0	0.0
donor_anchor_count	0.0	0.0
donor_panel_usable_anchors	0.0	0.0
donor_support_plus	1.8435804843902588	23.0
donor_support_minus	1.6488651037216187	36.0
donor_total_support	1.8090492486953735	22.0
donor_margin	14.380266189575195	68.0
donor_confidence	2.8893492221832275	10.0
donor_entropy	2.9998109340667725	14.0
donor_top1_score	2.4265458583831787	23.0
donor_top2_score	1.0584535598754883	6.0
donor_top_margin	3.7912776470184326	34.0
donor_effective_n	3.8184380531311035	74.0
donor_left_support_plus	1.5412896871566772	3.0
donor_left_support_minus	1.5908697843551636	20.0
donor_right_support_plus	0.0	0.0
donor_right_support_minus	1.757153034210205	11.0
donor_left_confidence	1.488247036933899	6.0
donor_right_confidence	1.0704641342163086	1.0
donor_mean_anchor_dist_bp	1.3608721494674683	4.0
donor_min_anchor_dist_bp	1.5649211406707764	2.0
donor_max_anchor_dist_bp	1.4717528820037842	8.0
hmm_like_log_margin	4.763545036315918	99.0
log_donor_margin	19.290136337280273	6.0
log_donor_total_support	1.613221287727356	2.0
log_donor_top1_score	2.487645387649536	3.0
log_donor_effective_n	4.743099212646484	6.0
abs_hmm_like_log_margin	3.8713135719299316	42.0
phase8c_anchor_count	0.0	0.0
phase8c_left_anchor_count	0.0	0.0
phase8c_right_anchor_count	0.0	0.0
phase8c_copy_plus_prob	4.376112937927246	53.0
phase8c_copy_minus_prob	5.061039447784424	15.0
phase8c_copy_confidence	37.18320846557617	79.0
phase8c_copy_margin	82.43675231933594	12.0
phase8c_copy_entropy	54.0853157043457	3.0
phase8c_copy_effective_haps	0.8983369469642639	3.0
phase8c_top_plus_score	3.3030292987823486	37.0
phase8c_top_minus_score	2.331852436065674	14.0
phase8c_top_score_margin	0.0	0.0
phase8c_left_plus_prob	1.9139447212219238	3.0
phase8c_right_plus_prob	1.39293372631073	14.0
phase8c_left_confidence	1.976776361465454	17.0
phase8c_right_confidence	0.0	0.0
phase8c_mean_cm_dist	1.6832690238952637	17.0
phase8c_min_cm_dist	1.7728995084762573	35.0
phase8c_max_cm_dist	1.5465736389160156	39.0
phase8c_mean_bp_dist	2.122626543045044	4.0
phase8c_min_bp_dist	1.7551320791244507	6.0
phase8c_max_bp_dist	1.3933402299880981	9.0
log_phase8c_copy_margin	0.0	0.0
log_phase8c_copy_effective_haps	0.7099475860595703	1.0
log_phase8c_anchor_count	0.0	0.0
