feature	gain	weight
scaffold_anchor_count	10.532964706420898	10.0
scaffold_left_anchor_count	5.566103935241699	21.0
scaffold_right_anchor_count	3.1182844638824463	12.0
scaffold_two_sided	0.0	0.0
scaffold_mean_cm_dist	4.873701572418213	42.0
scaffold_min_cm_dist	6.34675931930542	62.0
scaffold_max_cm_dist	3.190816879272461	23.0
scaffold_mean_bp_dist	5.307637691497803	69.0
scaffold_min_bp_dist	3.054926872253418	25.0
scaffold_max_bp_dist	2.0111584663391113	13.0
scaffold_block_anchor_count	7.4194841384887695	107.0
scaffold_block_span_bp	4.577472686767578	130.0
scaffold_block_density_per_kb	6.409274101257324	208.0
log_scaffold_block_anchor_count	5.911282539367676	16.0
log_scaffold_block_span_bp	6.025229454040527	28.0
phase8d_rule_accept	0.0	0.0
phase8d_panel_usable_anchors	4.070117473602295	47.0
phase8d_support_plus	2.6648895740509033	41.0
phase8d_support_minus	2.8144631385803223	59.0
phase8d_total_support	4.93175745010376	22.0
phase8d_margin	10.627992630004883	83.0
phase8d_confidence	32.77895736694336	94.0
phase8d_entropy	72.4822006225586	24.0
phase8d_top_plus_score	9.853846549987793	35.0
phase8d_top_minus_score	4.474613189697266	8.0
phase8d_top_margin	3.3522560596466064	7.0
phase8d_effective_donors	3.4112775325775146	37.0
phase8d_hmm_log_margin	4.797221660614014	88.0
phase8d_abs_hmm_log_margin	10.488515853881836	111.0
log_phase8d_margin	14.051837921142578	22.0
log_phase8d_total_support	7.858972549438477	3.0
log_phase8d_effective_donors	2.7264461517333984	11.0
