feature	gain	weight
candidate_accepted_by_rule	0.0	0.0
panel_confidence	3.105638027191162	39.0
panel_margin	2.010275363922119	9.0
panel_support	0.789867639541626	4.0
panel_conflict	3.4542481899261475	26.0
support_conflict_ratio	1.7996723651885986	15.0
panel_haplotypes	0.6769527196884155	1.0
anchors	0.0	0.0
best_vs_second_margin	1.4329371452331543	47.0
n_block_candidates	1.1031990051269531	1.0
log_panel_margin	0.1489086151123047	1.0
log_panel_support	1.0096759796142578	1.0
log_panel_conflict	2.1319098472595215	5.0
log_best_vs_second_margin	1.420989990234375	12.0
panel_margin_per_haplotype	1.6938303709030151	21.0
panel_support_per_haplotype	1.5884381532669067	24.0
panel_conflict_per_haplotype	1.5025660991668701	25.0
confidence_x_log_margin	3.910043954849243	28.0
confidence_x_log_support_conflict_ratio	2.600148916244507	1.0
nearest_phase6_anchor_dist_bp	1.83845853805542	48.0
nearest_same_block_anchor_dist_bp	1.6402955055236816	18.0
left_anchors_20kb	0.958451509475708	6.0
right_anchors_20kb	5.229165554046631	3.0
left_nearest_anchor_dist_bp	2.6279425621032715	10.0
right_nearest_anchor_dist_bp	1.0471909046173096	7.0
left_anchors_50kb	0.0	0.0
right_anchors_50kb	0.9607512354850769	3.0
phase6_block_anchor_count	0.7680379152297974	2.0
phase6_block_span_bp	1.3370662927627563	7.0
phase6_block_density_per_kb	1.2947453260421753	25.0
log_phase6_block_span_bp	0.9123164415359497	1.0
log_phase6_block_anchor_count	1.0596522092819214	1.0
donor_anchor_count	0.0	0.0
donor_panel_usable_anchors	0.0	0.0
donor_support_plus	2.5213654041290283	41.0
donor_support_minus	1.8782871961593628	35.0
donor_total_support	1.227293848991394	16.0
donor_margin	40.348628997802734	77.0
donor_confidence	5.090583801269531	14.0
donor_entropy	8.549376487731934	26.0
donor_top1_score	1.7854739427566528	13.0
donor_top2_score	1.1828076839447021	19.0
donor_top_margin	1.4575483798980713	23.0
donor_effective_n	3.7939648628234863	108.0
donor_left_support_plus	1.2585270404815674	4.0
donor_left_support_minus	1.8410850763320923	33.0
donor_right_support_plus	1.2277597188949585	4.0
donor_right_support_minus	1.5008879899978638	10.0
donor_left_confidence	1.1653120517730713	8.0
donor_right_confidence	1.3128509521484375	8.0
donor_mean_anchor_dist_bp	0.60725337266922	3.0
donor_min_anchor_dist_bp	1.4409645795822144	5.0
donor_max_anchor_dist_bp	1.438114881515503	9.0
hmm_like_log_margin	5.9557061195373535	123.0
log_donor_margin	97.84776306152344	10.0
log_donor_total_support	0.45394444465637207	1.0
log_donor_top1_score	0.0	0.0
log_donor_effective_n	2.946017026901245	20.0
abs_hmm_like_log_margin	7.614048480987549	62.0
phase8e_anchor_count	0.0	0.0
phase8e_usable_anchors	0.0	0.0
phase8e_pop_prior_margin	1.7900700569152832	4.0
phase8e_pop_prior_entropy	0.0	0.0
phase8e_pop_effective_n	0.0	0.0
phase8e_weighted_plus_support	1.7212387323379517	20.0
phase8e_weighted_minus_support	3.7442872524261475	51.0
phase8e_weighted_total_support	1.3934614658355713	26.0
phase8e_weighted_margin	1.6363826990127563	8.0
phase8e_weighted_confidence	3.394731283187866	19.0
phase8e_weighted_entropy	4.229509353637695	2.0
phase8e_weighted_log_margin	6.956467151641846	114.0
phase8e_unweighted_plus_support	3.2520132064819336	2.0
phase8e_unweighted_minus_support	5.205374717712402	7.0
phase8e_unweighted_confidence	1.0597020387649536	5.0
phase8e_weighted_unweighted_delta	1.2712154388427734	2.0
log_phase8e_weighted_total_support	1.4346961975097656	6.0
log_phase8e_weighted_margin	2.9675064086914062	1.0
log_phase8e_pop_effective_n	0.0	0.0
