feature	gain	weight
candidate_accepted_by_rule	0.0	0.0
panel_confidence	6.35944938659668	86.0
panel_margin	21.805706024169922	190.0
panel_support	2.535611629486084	74.0
panel_conflict	2.403822660446167	75.0
support_conflict_ratio	10.834754943847656	68.0
panel_haplotypes	3.385584831237793	11.0
anchors	3.114438533782959	2.0
best_vs_second_margin	3.7047977447509766	194.0
n_block_candidates	5.163018703460693	46.0
phase8e_candidate_in_panel	0.0	0.0
phase8e_anchor_count	2.802070140838623	45.0
phase8e_usable_anchors	3.0837197303771973	15.0
phase8e_pop_n_nonzero	0.0	0.0
phase8e_pop_top1_prior	0.0	0.0
phase8e_pop_top2_prior	0.0	0.0
phase8e_pop_prior_margin	1.5726410150527954	11.0
phase8e_pop_prior_entropy	0.0	0.0
phase8e_pop_effective_n	0.0	0.0
phase8e_weighted_plus_support	3.1753010749816895	97.0
phase8e_weighted_minus_support	3.3808095455169678	45.0
phase8e_weighted_total_support	2.624993085861206	114.0
phase8e_weighted_margin	19.36591339111328	163.0
phase8e_weighted_confidence	7.5661115646362305	71.0
phase8e_weighted_entropy	7.781713485717773	33.0
phase8e_weighted_log_margin	4.0337677001953125	90.0
phase8e_unweighted_plus_support	2.6101136207580566	11.0
phase8e_unweighted_minus_support	3.358924388885498	8.0
phase8e_unweighted_confidence	7.270788192749023	11.0
phase8e_weighted_unweighted_delta	1.5386791229248047	14.0
log_phase8e_weighted_total_support	2.2154650688171387	28.0
log_phase8e_weighted_margin	36.320919036865234	28.0
log_phase8e_pop_effective_n	0.0	0.0
