feature	gain	weight
pred_relation	6.194544792175293	11.0
gap_bp	6.079949855804443	108.0
gap_cm	15.347469329833984	282.0
block_a_start	7.766900062561035	214.0
block_a_end	7.404365062713623	31.0
block_a_span_bp	4.127225399017334	106.0
block_a_n_anchors	2.7893731594085693	35.0
block_b_start	8.434654235839844	182.0
block_b_end	21.038265228271484	13.0
block_b_span_bp	3.553654670715332	111.0
block_b_n_anchors	4.015103340148926	20.0
bridge_anchor_count_a	2.7580149173736572	1.0
bridge_anchor_count_b	6.500367641448975	3.0
bridge_pred_relation	3.7845876216888428	1.0
bridge_a_usable_anchors	5.5395355224609375	12.0
bridge_b_usable_anchors	4.966601371765137	39.0
bridge_same_support	8.772076606750488	15.0
bridge_flip_support	3.5202975273132324	25.0
bridge_total_support	3.056922435760498	15.0
bridge_margin	59.23970413208008	60.0
bridge_confidence	36.857872009277344	34.0
bridge_entropy	2.6723577976226807	19.0
bridge_log_margin_same_over_flip	11.12200927734375	65.0
bridge_abs_log_margin	334.5111389160156	99.0
bridge_same_top1	9.779985427856445	13.0
bridge_same_top2	7.676283359527588	8.0
bridge_flip_top1	5.071812152862549	9.0
bridge_flip_top2	18.570478439331055	15.0
bridge_top1_max	3.959963321685791	13.0
bridge_top2_max	5.49961519241333	2.0
bridge_top_margin	0.0	0.0
bridge_effective_donors	0.0	0.0
