feature	gain	weight
bridge_margin	759.1544189453125	151.0
bridge_abs_log_margin	581.9415283203125	20.0
gap_cm	85.29129791259766	419.0
bridge_top2_max	53.46638870239258	3.0
gap_bp	48.686134338378906	160.0
bridge_confidence	42.87384796142578	17.0
bridge_flip_top1	37.991519927978516	14.0
bridge_same_support	25.886123657226562	34.0
bridge_flip_top2	25.51200294494629	21.0
bridge_flip_support	23.474592208862305	37.0
bridge_top1_max	22.82265853881836	34.0
bridge_log_margin_same_over_flip	19.76683807373047	67.0
bridge_same_top1	19.580848693847656	20.0
bridge_same_top2	16.662599563598633	28.0
bridge_total_support	14.836831092834473	32.0
block_a_span_bp	12.572073936462402	168.0
block_b_span_bp	11.910299301147461	137.0
bridge_anchor_count_b	11.37281322479248	3.0
block_b_n_anchors	10.245919227600098	73.0
bridge_b_usable_anchors	9.345097541809082	83.0
block_a_n_anchors	9.344951629638672	79.0
bridge_a_usable_anchors	8.091400146484375	34.0
bridge_effective_donors	7.518906116485596	50.0
bridge_anchor_count_a	5.567286491394043	5.0
bridge_entropy	3.555941104888916	2.0
bridge_top_margin	0.0	0.0
