pos	block_id	phase_state	local_phase_state	confidence
88108	unassigned	0	0	0.000000
101338	block_1	1	1	0.500000
101371	block_1	-1	-1	0.500000
101505	unassigned	0	0	0.500000
102633	block_2	-1	-1	0.375000
121264	block_2	1	1	0.300855
130282	block_2	-1	-1	0.375000
136216	block_2	-1	-1	0.375000
140859	unassigned	0	0	0.000000
148061	block_3	-1	-1	0.375000
152792	block_3	-1	-1	1.000000
153098	block_3	-1	-1	0.375000
153259	block_3	1	1	0.500000
153376	block_3	-1	-1	0.500000
153759	block_3	1	1	0.500000
153898	block_3	1	1	1.000000
154128	unassigned	0	0	0.000000
155384	block_4	1	1	0.375000
155733	block_4	1	1	1.000000
155813	block_4	1	1	1.000000
156080	block_4	-1	-1	0.500000
156287	block_4	-1	-1	0.375000
156473	block_4	-1	-1	0.500000
156486	block_4	1	1	0.500000
156669	unassigned	0	0	0.500000
156813	block_5	-1	-1	0.500000
156881	block_5	-1	-1	0.500000
157033	block_5	1	1	0.500000
157259	block_5	1	1	0.500000
157484	block_5	1	1	0.500000
157507	block_5	1	1	0.500000
157537	block_5	-1	-1	0.375000
157819	block_5	1	1	0.500000
157914	block_5	1	1	0.500000
157927	unassigned	0	0	0.000000
157960	block_6	1	1	0.490000
157962	block_6	-1	-1	0.500000
157965	block_6	1	1	0.500000
157974	unassigned	0	0	0.500000
157979	unassigned	0	0	0.500000
158513	block_7	1	1	0.500000
158532	block_7	1	1	0.500000
158721	block_7	1	1	0.500000
158768	unassigned	0	0	0.500000
158815	unassigned	0	0	0.500000
158935	unassigned	0	0	0.500000
159200	block_8	1	1	0.500000
159286	block_8	-1	-1	0.500000
159445	block_8	-1	-1	0.500000
159495	unassigned	0	0	0.000000
159530	unassigned	0	0	0.500000
159639	block_9	-1	-1	0.500000
159864	block_9	-1	-1	0.500000
159865	block_9	1	1	0.500000
159952	unassigned	0	0	0.000000
160054	unassigned	0	0	0.500000
160212	block_10	-1	-1	0.500000
160282	block_10	-1	-1	0.500000
160312	block_10	-1	-1	0.500000
160384	block_10	-1	-1	0.803264
160388	block_10	-1	-1	0.500000
160408	unassigned	0	0	0.500000
160413	unassigned	0	0	0.500000
160433	block_11	-1	-1	0.500000
160558	block_11	-1	-1	1.000000
160625	block_11	-1	-1	0.523809
160727	block_11	-1	-1	0.523809
160731	block_11	-1	-1	0.523809
160873	block_11	1	1	0.500000
160889	block_11	1	1	0.500000
160956	block_11	-1	-1	0.500000
160967	block_11	-1	-1	0.500000
161128	block_11	1	1	0.500000
161181	block_11	1	1	0.500000
161221	block_11	1	1	0.500000
161451	block_11	-1	-1	0.548781
161571	block_11	-1	-1	0.500000
161621	block_11	-1	-1	0.684210
161698	block_11	-1	-1	0.571429
161730	block_11	-1	-1	0.702128
161734	block_11	-1	-1	0.710345
161770	block_11	-1	-1	0.710345
161914	block_11	-1	-1	0.500000
161918	block_11	1	1	0.500000
161991	block_11	-1	-1	0.500000
162224	block_11	-1	-1	0.500000
162225	block_11	-1	-1	0.500000
162228	block_11	-1	-1	0.500000
162268	block_11	-1	-1	1.000000
162455	block_11	-1	-1	0.500000
162806	block_11	1	1	0.500000
162854	block_11	-1	-1	0.500000
162932	unassigned	0	0	0.500000
163082	block_12	-1	-1	0.500000
163113	block_12	-1	-1	0.500000
163741	block_12	-1	-1	0.490000
163894	block_12	-1	-1	0.500000
163919	block_12	-1	-1	0.500000
163929	block_12	-1	-1	0.500000
164191	block_12	-1	-1	0.375000
164243	block_12	-1	-1	0.334922
164258	block_12	-1	-1	0.500000
164616	block_12	-1	-1	0.334922
164772	block_12	-1	-1	0.334922
165212	unassigned	0	0	0.000000
166310	unassigned	0	0	0.500000
166354	unassigned	0	0	0.300000
166856	block_13	-1	-1	1.000000
166960	unassigned	0	0	0.000000
167044	block_14	1	1	0.500000
167274	unassigned	0	0	0.500000
167276	unassigned	0	0	0.500000
168062	block_15	-1	-1	0.375000
168478	unassigned	0	0	0.000000
168766	block_16	1	1	0.147342
169334	block_16	1	1	0.375000
170689	block_16	1	1	0.375000
171892	block_16	1	1	0.500000
171929	block_16	1	1	0.500000
172156	block_16	1	1	0.490000
172331	block_16	1	1	0.500000
172351	block_16	1	1	0.500000
172626	block_16	1	1	1.000000
172657	block_16	1	1	0.375000
172752	block_16	-1	-1	0.500000
173050	block_16	-1	-1	0.375000
173215	block_16	1	1	0.375000
173973	block_16	-1	-1	0.375000
175269	block_16	-1	-1	0.500000
175314	block_16	-1	-1	0.500000
175524	block_16	-1	-1	0.500000
175532	block_16	-1	-1	0.500000
175688	block_16	-1	-1	0.500000
175689	block_16	-1	-1	0.500000
175893	block_16	1	1	0.490000
175897	block_16	1	1	0.490000
176011	block_16	-1	-1	0.500000
176015	unassigned	0	0	0.500000
176516	block_17	1	1	0.500000
176881	block_17	1	1	0.490000
177105	block_17	1	1	1.000000
177335	block_17	1	1	1.000000
177473	unassigned	0	0	0.500000
177674	unassigned	0	0	0.500000
177793	block_18	-1	-1	0.500000
177854	block_18	-1	-1	0.500000
178648	block_18	-1	-1	0.375000
179470	unassigned	0	0	0.000000
179567	unassigned	0	0	0.500000
179892	unassigned	0	0	0.500000
179910	unassigned	0	0	0.500000
180809	block_19	-1	-1	0.104502
182042	block_19	-1	-1	0.375000
182966	block_19	-1	-1	0.375000
183100	unassigned	0	0	0.000000
183643	unassigned	0	0	0.000000
183699	block_20	1	1	0.375000
185267	block_20	1	1	0.375000
186086	block_20	1	1	1.000000
186183	block_20	1	1	1.000000
186669	block_20	-1	-1	0.140636
186790	block_20	1	1	1.000000
187439	block_20	-1	-1	0.140636
187825	block_20	-1	-1	0.140636
188087	block_20	-1	-1	0.375000
189060	block_20	-1	-1	0.375000
189354	block_20	-1	-1	0.500000
189948	block_20	-1	-1	0.500000
190001	block_20	-1	-1	0.500000
190548	block_20	-1	-1	0.500000
190675	unassigned	0	0	0.000000
190950	block_21	-1	-1	0.500000
190986	block_21	-1	-1	0.500000
191221	block_21	-1	-1	0.500000
191726	unassigned	0	0	0.000000
191877	block_22	-1	-1	0.375000
192100	block_22	1	1	0.375000
193110	block_22	1	1	0.375000
193428	block_22	1	1	0.375000
194746	block_22	1	1	0.375000
195745	unassigned	0	0	0.000000
196584	block_23	1	1	0.375000
196609	block_23	-1	-1	0.124710
198171	block_23	1	1	0.500000
198174	block_23	1	1	0.500000
198215	block_23	1	1	0.500000
198814	block_23	1	1	0.500000
198921	block_23	1	1	0.500000
199123	block_23	1	1	0.708333
199139	unassigned	0	0	0.000000
200997	block_24	-1	-1	0.490000
201326	block_24	1	1	0.500000
201372	unassigned	0	0	0.500000
201418	unassigned	0	0	0.500000
202581	block_25	1	1	0.105377
203580	unassigned	0	0	0.500000
203602	block_26	1	1	0.500000
203620	block_26	1	1	0.375000
203847	block_26	1	1	0.500000
204090	block_26	1	1	1.000000
205285	block_26	-1	-1	0.375000
205764	block_26	-1	-1	0.375000
206175	block_26	-1	-1	0.375000
207202	unassigned	0	0	0.000000
207389	block_27	1	1	0.375000
