split	label	method	n_truth_het_sites_in_bed	n_pred_sites_nonzero	n_exact_overlap_sites_phased	pct_truth_sites_phased	hamming_errors	hamming_denominator	hamming_error_rate	switch_errors	switch_denominator	switch_error_rate	phased_site_accuracy_pct	truth_correct_pct	raw_block_n50_bp	median_block_span_bp	phasing_coverage_pct	runtime_seconds	path
hard_chr6	chr6_25_30mb	AWPhase_Phase6C_Rust_WMEC	6076	5125	5076	0.8354180381830152	266	5076	0.05240346729708432	21	5010	0.004191616766467066	94.75965327029157	79.16392363396972	97027	34458	83.54180381830152	12.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase6c.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase7A_current	6076	5125	5076	0.8354180381830152	266	5076	0.05240346729708432	21	5010	0.004191616766467066	94.75965327029157	79.16392363396972	97027	34458	83.54180381830152	14.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase7a.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT	6076	5593	5541	0.9119486504279131	289	5541	0.05215665042411117	21	5475	0.0038356164383561643	94.78433495758888	86.43844634628046	97756	34458	91.1948650427913	13.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase8pbwt.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM	6076	5599	5547	0.912936142198815	289	5547	0.05210023436091581	21	5481	0.0038314176245210726	94.78997656390843	86.53719552337064	97756	34458	91.2936142198815	14.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V2_exact_prefix	6076	5596	5544	0.9124423963133641	289	5544	0.05212842712842713	21	5478	0.0038335158817086527	94.78715728715729	86.48782093482555	97756	34458	91.2442396313364	16.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase8pbwt_v2.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	6076	5623	5571	0.9168861092824226	282	5571	0.05061927840603123	29	5505	0.005267938237965486	94.93807215939688	87.04739960500329	97756	34458	91.68861092824227	21.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	6076	5596	5544	0.9124423963133641	289	5544	0.05212842712842713	21	5478	0.0038335158817086527	94.78715728715729	86.48782093482555	97756	34458	91.2442396313364	17.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase8pbwt_v3.metrics.json
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	6076	5623	5571	0.9168861092824226	282	5571	0.05061927840603123	29	5505	0.005267938237965486	94.93807215939688	87.04739960500329	97756	34458	91.68861092824227	23.0	results/phase7a_windows/chr6_25_30mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase8pbwt_hmm_v3.metrics.json
hard_chr6	chr6_25_30mb	WhatsHap_Illumina30x	6076	5200	5127	0.8438117182356814	68	5127	0.013263116832455627	60	4338	0.013831258644536652	98.67368831675444	83.26201448321264	2242	563	84.38117182356814	14.0	baselines/whatshap/chr6_25_30mb_whatshap_illumina30x/truth_eval.metrics.json
hard_chr6	chr6_25_30mb	WhatsHap_PacBio_HiFi30x	6076	6150	6063	0.9978604344963792	48	6063	0.007916872835230085	49	6044	0.008107213765718067	99.20831271647698	98.9960500329164	1392213	59360	99.78604344963792	18.0	baselines/whatshap/chr6_25_30mb_whatshap_pacbio/truth_eval.metrics.json
hard_chr6	chr6_30_35mb	AWPhase_Phase6C_Rust_WMEC	10287	11752	8844	0.8597258675998833	368	8844	0.041610131162369966	31	8754	0.003541238291066941	95.838986883763	82.39525614853699	74641	18459	85.97258675998833	12.0	results/phase7a_windows/chr6_30_35mb_pacbio_hifi30x_mcs128_phase7a/truth_eval_phase6c.metrics.json
