split	label	method	truth_sites	variant_sites	read_backbone_phased_sites	method_phased_sites	method_filled_sites	method_panel_added_sites	method_panel_added_with_read_evidence_sites	method_panel_added_without_read_evidence_sites	method_preserved_read_sites	method_changed_read_sites	method_lost_read_sites	panel_exact_variant_sites	panel_missing_variant_sites	panel_allele_mismatch_variant_sites	panel_nonbiallelic_variant_sites	panel_needed_sites	panel_found_sites	panel_missing_needed_sites	panel_allele_mismatch_needed_records	panel_nonbiallelic_needed_records	candidate_unphased_positions	accepted_sites	panel_added_panel_exact_sites	panel_added_panel_missing_sites	panel_added_panel_allele_mismatch_sites	panel_added_panel_nonbiallelic_sites	panel_added_pct_truth_sites	panel_added_pct_method_phased_sites	panel_exact_pct_variant_sites	panel_found_pct_needed_sites
hard_chr6	chr6_25_30mb	AWPhase_Phase6C_Rust_WMEC	6076	6076	5076	5076	0	0	0	0	5076	0	0	4469	1536	71	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	73.55167873601053	0.0
hard_chr6	chr6_25_30mb	AWPhase_Phase7A_current	6076	6076	5076	5076	0	0	0	0	5076	0	0	4469	1536	71	0	8	5	3	0	0	8	0	0	0	0	0	0.0	0.0	73.55167873601053	62.5
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT	6076	6076	5076	5541	465	465	0	465	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	468	465	0	0	0	7.653061224489796	8.391987005955604	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM	6076	6076	5076	5547	471	471	0	471	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	474	471	0	0	0	7.751810401579987	8.491076257436452	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V2_exact_prefix	6076	6076	5076	5544	468	468	0	468	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	471	468	0	0	0	7.702435813034891	8.441558441558442	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	6076	6076	5076	5571	495	495	0	495	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	498	495	0	0	0	8.14680710994075	8.88529886914378	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	6076	6076	5076	5544	468	468	0	468	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	471	468	0	0	0	7.702435813034891	8.441558441558442	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	6076	6076	5076	5571	495	495	0	495	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	498	495	0	0	0	8.14680710994075	8.88529886914378	73.55167873601053	73.71250216750477
hard_chr6	chr6_30_35mb	AWPhase_Phase6C_Rust_WMEC	10287	10287	8844	8844	0	0	0	0	8844	0	0	8316	1897	74	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	80.83989501312335	0.0
hard_chr6	chr6_30_35mb	AWPhase_Phase7A_current	10287	10287	8844	8844	0	0	0	0	8844	0	0	8316	1897	74	0	22	1	21	0	0	8	0	0	0	0	0	0.0	0.0	80.83989501312335	4.545454545454546
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT	10287	10287	8844	9662	818	818	0	818	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	889	818	0	0	0	7.951783804802178	8.466156075346719	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM	10287	10287	8844	9675	831	831	0	831	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	903	831	0	0	0	8.078156897054535	8.589147286821705	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_V2_exact_prefix	10287	10287	8844	9668	824	824	0	824	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	895	824	0	0	0	8.010109847380189	8.522962350020686	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	10287	10287	8844	9704	860	860	0	860	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	934	860	0	0	0	8.360066102848256	8.862324814509481	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	10287	10287	8844	9668	824	824	0	824	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	895	824	0	0	0	8.010109847380189	8.522962350020686	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	10287	10287	8844	9704	860	860	0	860	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	934	860	0	0	0	8.360066102848256	8.862324814509481	80.83989501312335	69.13415495721799
