component_id	start_pos	end_pos	span_bp	n_sites	n_fragments	solver	objective	margin
phase6_comp_1	30000446	30000635	190	10	1	exact	0.000000	0.511111
phase6_comp_2	30002306	30002526	221	7	3	exact	0.000000	0.122222
phase6_comp_3	30003425	30003624	200	5	1	exact	0.000000	0.306667
phase6_comp_4	30004288	30004868	581	13	14	exact	0.000000	0.511111
phase6_comp_5	30005260	30005318	59	2	1	exact	0.000000	1.0
phase6_comp_6	30005913	30006399	487	10	11	exact	0.779445	0.2555560000000001
phase6_comp_7	30010263	30010608	346	15	6	exact	0.268333	0.12833299999999997
phase6_comp_8	30012506	30013855	1350	25	21	greedy_refine	0.000000	
phase6_comp_9	30015145	30016010	866	12	5	exact	0.000000	0.255556
phase6_comp_10	30015629	30015797	169	4	1	exact	0.000000	0.511111
phase6_comp_11	30141276	30148973	7698	33	193	greedy_refine	1.533334	
phase6_comp_12	30151492	30153424	1933	11	72	exact	1.916666	0.345
phase6_comp_13	30154758	30157514	2757	13	88	exact	0.766667	1.7338900000000002
phase6_comp_14	30158362	30160146	1785	7	28	exact	0.000000	0.766667
phase6_comp_15	30163172	30163841	670	3	24	exact	0.000000	1.533334
phase6_comp_16	30165314	30165796	483	6	42	exact	0.366667	6.900003
phase6_comp_17	30166567	30168027	1461	9	82	exact	0.000000	0.766667
phase6_comp_18	30169140	30169252	113	2	10	exact	0.000000	7.66667
phase6_comp_19	30170143	30171092	950	5	21	exact	0.000000	2.862223
phase6_comp_20	30342456	30345876	3421	20	152	greedy_refine	8.901664	
phase6_comp_21	30348600	30349039	440	2	2	exact	0.000000	1.533334
phase6_comp_22	30350247	30350770	524	3	13	exact	0.000000	4.148889
phase6_comp_23	30351494	30351585	92	2	11	exact	0.000000	8.433337
phase6_comp_24	30352620	30355289	2670	5	8	exact	0.511111	0.22611100000000006
phase6_comp_25	30356107	30358017	1911	9	71	exact	0.244444	0.7666670000000001
phase6_comp_26	30359324	30360907	1584	7	33	exact	1.188334	1.5333340000000002
phase6_comp_27	30361946	30365341	3396	11	43	exact	0.000000	0.766667
phase6_comp_28	30367912	30370722	2811	7	32	exact	0.000000	0.766667
phase6_comp_29	30371231	30371479	249	2	7	exact	0.000000	5.047224
phase6_comp_30	30374391	30375085	695	4	22	exact	0.000000	0.9161110000000001
phase6_comp_31	30376387	30378291	1905	7	32	exact	0.000000	0.345
phase6_comp_32	30379869	30381150	1282	4	7	exact	0.000000	1.367223
phase6_comp_33	30382623	30384916	2294	10	80	exact	4.762224	0.6005560000000001
phase6_comp_34	30387726	30388373	648	3	14	exact	0.000000	0.766667
phase6_comp_35	30392952	30393114	163	2	7	exact	0.000000	2.382224
phase6_comp_36	30399460	30400499	1040	5	35	exact	0.766667	0.877778
phase6_comp_37	30401209	30401700	492	2	1	exact	0.000000	0.766667
phase6_comp_38	30402719	30403146	428	3	15	exact	0.000000	3.731112
