label	pos	panel_confidence	panel_margin	panel_support	panel_conflict	panel_log_support_conflict_ratio	panel_samples	panel_haplotypes	anchors	best_vs_second_margin	n_block_candidates	orientation_sites	orientation_margin
1	25002155	0.9754645211489384	20725.059962155876	21259.7994093387	534.7394471828212	39.68496163786021	4091.0	32728.0	4.0	11999.222915372495	2.0	7.0	7.0
1	25006802	0.992398033856664	24265.971394303517	24453.288443002733	187.31704869921646	129.857007700145	4091.0	32728.0	4.0	24265.971394303517	1.0	7.0	7.0
0	25013429	0.8666107869661693	9042.179754097122	10687.152139512438	1644.9723854153156	6.49351850263003	4091.0	32728.0	4.0	9042.179754097122	1.0	7.0	7.0
0	25019181	0.8672363246623758	6318.487956638322	7460.621274292891	1142.1333176545681	6.527341263748943	4091.0	32728.0	4.0	6318.487956638322	1.0	7.0	7.0
1	25095062	0.9372770470611836	8062.84134440971	8641.1077107756	578.2663663658896	14.919056607745238	4091.0	16364.0	2.0	3411.2277054539554	4.0	3.0	3.0
1	25095963	0.9099608966267212	6861.771913393365	7615.29230487162	753.5203914782549	10.094216658544902	4091.0	16364.0	2.0	1959.6366820771627	4.0	3.0	3.0
1	25109502	0.9550846639503944	12863.331726003002	13498.11566068417	634.7839346811687	21.232237752993353	4091.0	16364.0	2.0	8060.646484794076	3.0	2.0	2.0
1	25134389	0.9720014667181267	10915.1820657512	11238.919500796235	323.73743504503534	34.61233072570601	4091.0	24546.0	3.0	6.413711542914825	4.0	3.0	3.0
1	25135900	0.8886994197517468	12100.125854650621	13832.506918609557	1732.3810639589356	7.98064961377545	4091.0	24546.0	3.0	7374.551832587957	4.0	3.0	3.0
1	25137034	0.8885776242246196	10574.482554237147	12090.568267020406	1516.0857127832596	7.970260457358801	4091.0	24546.0	3.0	5177.407733876527	4.0	3.0	3.0
1	25138054	0.9886187126891494	17262.544191669585	17463.590498390382	201.0463067207949	86.43855352686288	4091.0	24546.0	3.0	10596.219864637676	4.0	3.0	3.0
1	25147902	0.9118812720620124	14175.583412568174	15691.960173085557	1516.3767605173832	10.342164570738975	4091.0	32728.0	4.0	2120.222883908684	3.0	7.0	7.0
1	25149759	0.9046538766496602	17310.88443596162	19350.313461577578	2039.4290256159593	9.483943434756744	4091.0	32728.0	4.0	8001.100988001497	3.0	7.0	7.0
1	25157151	0.9930997977646593	24754.881869032553	24928.08584516744	173.20397613488612	143.10285217522733	4091.0	32728.0	4.0	14360.138691985725	3.0	5.0	5.0
1	25170963	0.9687118064043023	9411.104398585905	9725.21687916452	314.11248057861445	30.86585736402788	4091.0	16364.0	2.0	4356.78654357416	4.0	2.0	2.0
1	25188305	0.9834461521411634	11574.72894020091	11772.896100115973	198.16715991506385	59.11564991506145	4091.0	16364.0	2.0	1985.7554549558408	4.0	2.0	2.0
0	25236173	0.8722806159862995	1498.9419812015492	1756.0651542737448	257.12317307219564	6.807080253047654	4091.0	8182.0	1.0	386.80396518179055	2.0	4.0	4.0
1	25239216	0.9781227083842555	5843.16654219495	5976.848394323404	133.6818521284538	44.38495832847611	4091.0	8182.0	1.0	4513.730264847921	2.0	2.0	2.0
1	25249388	0.9913786302096524	16339.123425161106	16482.460575413592	143.33715025248603	114.20109477414104	4091.0	24546.0	3.0	14773.493092000997	2.0	4.0	4.0
1	25268108	0.9777560498655622	5746.839164952479	5880.6233460756785	133.78418112319898	43.637341541583446	4091.0	8182.0	1.0	2063.422553280442	2.0	4.0	4.0
1	25269098	0.9781227083842552	6730.901582930972	6884.893324156024	153.99174122505207	44.42748542425578	4091.0	8182.0	1.0	3361.064556113161	2.0	4.0	4.0
1	25271621	0.9335984624495027	13016.350997868736	14013.017031545103	996.6660336763673	14.046801793886779	4091.0	24546.0	3.0	6939.760325838872	3.0	3.0	3.0
1	25272836	0.9115996749911432	14512.737742388044	16071.206821868018	1558.4690794799728	10.306204228959464	4091.0	24546.0	3.0	9569.512912713566	3.0	3.0	3.0
1	25274052	0.9973457843139214	21248.32326007411	21305.021873673053	56.698613598942686	369.2640177070646	4091.0	24546.0	3.0	17394.680731087392	3.0	3.0	3.0
1	25291895	0.9518455145441289	4569.839307788199	4813.349814586716	243.5105067985167	19.68974616928781	4091.0	8182.0	1.0	1650.7436854502962	4.0	2.0	2.0
0	25303881	0.8956245416768591	5061.7670054734435	5729.476153245135	667.7091477716916	8.569459790314719	4091.0	8182.0	1.0	4665.6064876220225	2.0	2.0	2.0
0	25317506	0.895746761183069	1617.3826173823409	1830.4195804193084	213.03696303696768	8.556557495646173	4091.0	8182.0	1.0	1389.9006790647638	2.0	2.0	2.0
0	25321736	0.8964800782204877	1337.7319587629675	1512.3711340207021	174.6391752577346	8.61636438340118	4091.0	8182.0	1.0	1337.7319587629675	1.0	2.0	2.0
0	25358191	0.8678456748462792	8931.123960509618	10535.447105478783	1604.323144969164	6.563443091503657	4091.0	16364.0	2.0	4733.331733078608	3.0	2.0	2.0
1	25379766	0.9691044270631064	8029.05583884366	8293.455688826332	264.3998499826721	31.252676628746684	4091.0	16364.0	2.0	6118.506495139402	3.0	2.0	2.0
1	25404337	0.9568603123560588	11915.244306718716	12477.801289335852	562.556982617136	22.14292728906454	4091.0	16364.0	2.0	6977.404837799017	4.0	2.0	2.0
1	25410966	0.9305166012807108	6568.003663654598	7098.0264502252585	530.0227865706605	13.368591009193214	4091.0	16364.0	2.0	780.8630251548257	3.0	2.0	2.0
1	25414561	0.9305157899667174	9879.27169546435	10676.517006160826	797.2453106964775	13.376235178687837	4091.0	16364.0	2.0	5351.481122969493	3.0	2.0	2.0
1	25417794	0.9924829344892463	13209.344982465478	13310.156101626711	100.81111916123268	130.7436379374886	4091.0	16364.0	2.0	10514.907861453004	2.0	2.0	2.0
1	25424006	0.9493414166645855	5971.639059436547	6308.259237014454	336.6201775779073	18.68744718481337	4091.0	16364.0	2.0	4278.784588804273	2.0	2.0	2.0
0	25428506	0.8733205085538324	3633.4408584318976	4249.911732117514	616.4708736856161	6.884392306222132	4091.0	16364.0	2.0	3633.4408584318976	1.0	2.0	2.0
1	25438728	0.9083385223831612	4225.661036782499	4699.937052034298	474.2760152517996	9.890962096085909	4091.0	16364.0	2.0	3694.502471718452	2.0	2.0	2.0
1	25459734	0.9622533674588485	4983.492200311085	5186.962917994481	203.47071768339632	25.37264492819727	4091.0	16364.0	2.0	3099.1148559752355	3.0	2.0	2.0
1	25471910	0.9997555609875336	4467.875874126338	4468.968531468996	1.0926573426573427	2136.0250626568636	4091.0	8182.0	1.0	4075.3806560851144	2.0	2.0	2.0
1	25481836	0.9512344170129551	4367.5844641048325	4603.590179323933	236.00571521910018	19.42818203800366	4091.0	16364.0	2.0	627.0981080630004	3.0	3.0	3.0
1	25492580	0.896846736739199	10543.013021193541	11913.247543812215	1370.2345226186728	8.688701565841084	4091.0	16364.0	2.0	7182.094432178887	3.0	3.0	3.0
1	25495915	0.9993889024688338	12345.640085261408	12353.193707437904	7.553622176496342	1444.3230543178279	4091.0	16364.0	2.0	938.0489616072591	4.0	2.0	2.0
1	25511759	0.9994472462262208	10452.391782551442	10458.17577580246	5.78399325101857	1541.7432460198993	4091.0	16364.0	2.0	3641.3362915659536	4.0	2.0	2.0
1	25513422	0.9998143897566135	8625.294182294834	8626.895719770811	1.6015374759769379	3316.4602852898884	4091.0	16364.0	2.0	2666.8049542958006	4.0	2.0	2.0
1	25515572	0.9994481527709789	7025.795465909395	7029.6769156034425	3.8814496940474803	1440.2846195827367	4091.0	16364.0	2.0	1500.9618765605173	4.0	2.0	2.0
1	25523250	0.9990222439501345	10630.450568803295	10640.864921552551	10.414352749255213	932.3231159337469	4091.0	16364.0	2.0	5303.86756823245	2.0	3.0	3.0
1	25533219	0.9932166482674223	19064.557791513587	19195.65799015872	131.10019864513504	145.31891841985274	4091.0	24546.0	3.0	17096.07683426849	3.0	4.0	4.0
1	25536645	0.9927955847011474	12345.19707384434	12435.437256008403	90.2401821640633	136.30438871379997	4091.0	24546.0	3.0	9983.672530565262	3.0	4.0	4.0
1	25537351	0.9927577160469857	11511.576529219112	11596.171963502997	84.59543428388444	135.48820752564913	4091.0	24546.0	3.0	9048.558327477918	3.0	4.0	4.0
1	25540438	0.9881924015181747	8809.436910228244	8915.971028296726	106.53411806848197	82.92225005851675	4091.0	24546.0	3.0	5747.218019673472	3.0	4.0	4.0
1	25542170	0.9823300546330392	7718.930474322555	7860.320253440111	141.38977911755623	55.20986339159813	4091.0	24546.0	3.0	4311.79746260663	3.0	4.0	4.0
1	25546416	0.9989000244439011	5544.688943221822	5550.801412659475	6.1124694376528135	780.5729727664918	4091.0	8182.0	1.0	651.9130956117824	4.0	3.0	3.0
1	25571251	0.9948615448099315	24139.09332969413	24264.418939154402	125.32560946027208	192.08630017958149	4091.0	32728.0	4.0	7686.146298869757	3.0	4.0	4.0
1	25574215	0.9755832282721136	19823.508910099357	20332.38523618657	508.8763260872118	39.87905340148828	4091.0	24546.0	3.0	15513.382327820449	3.0	3.0	3.0
1	25622836	0.9880574934465627	16944.14216869797	17151.44922945331	207.30706075533794	82.3421403348363	4091.0	24546.0	3.0	8919.374140344244	2.0	6.0	6.0
1	25632980	0.9626008310926374	5532.008184740471	5755.627009645468	223.61882490499735	25.628426344409185	4091.0	8182.0	1.0	4403.086439351362	2.0	4.0	4.0
1	25679165	0.9854749191264368	9950.869987697284	10099.73163393196	148.86164623467687	67.40037820026781	4091.0	16364.0	2.0	4782.429714215847	2.0	4.0	4.0
1	25693871	0.9612564165240713	6127.618119823677	6384.9650917347035	257.34697191102595	24.718559867363236	4091.0	8182.0	1.0	6127.618119823677	1.0	3.0	3.0
1	25708368	1.0	6814.925870398653	6814.925870398653	0.0	6815.925870398653	4091.0	8182.0	1.0	2643.33851367819	3.0	3.0	3.0
1	25732825	0.9720545793300233	9406.602037713212	9685.035361453069	278.43332373985766	34.663136206583644	4091.0	16364.0	2.0	5597.446712779778	2.0	3.0	3.0
