method	n_windows	windows	total_truth_sites	total_pred_sites_nonzero	total_exact_overlap_sites_phased	weighted_phasing_coverage_pct	total_hamming_errors	weighted_hamming_error_rate	total_switch_errors	weighted_switch_error_rate	weighted_phased_site_accuracy_pct	weighted_truth_correct_pct	mean_truth_correct_pct	mean_hamming_error_rate	mean_switch_error_rate	mean_raw_block_n50_bp	median_raw_block_n50_bp	stddev_raw_block_n50_bp	total_runtime_seconds	mean_runtime_seconds	median_runtime_seconds	stddev_runtime_seconds
AWPhase_Phase6C_Rust_WMEC	2	chr6_25_30mb,chr6_30_35mb	16363	16877	13920	85.06997494347003	2835	0.2036637931034483	67	0.004834054834054834	79.63362068965517	67.74430116726762	67.04651789878031	0.20925393984301574	0.0049871631774607095	435907.5	435907.5	152281.5	24.0	12.0	12.0	1.0
AWPhase_Phase7A_current	2	chr6_25_30mb,chr6_30_35mb	16363	16877	13920	85.06997494347003	2835	0.2036637931034483	67	0.004834054834054834	79.63362068965517	67.74430116726762	67.04651789878031	0.20925393984301574	0.0049871631774607095	435907.5	435907.5	152281.5	28.0	14.0	14.0	1.0
AWPhase_Phase8_PBWT	2	chr6_25_30mb,chr6_30_35mb	16363	18227	15196	92.86805597995478	3092	0.2034745985785733	69	0.004558668076109936	79.65254014214267	73.971765568661	73.2289080224419	0.20878488165001977	0.004670963924815029	437254.0	437254.0	150935.0	27.0	13.5	13.5	1.5
AWPhase_Phase8_PBWT_HMM	2	chr6_25_30mb,chr6_30_35mb	16363	18245	15212	92.96583756034957	3089	0.20306337102287667	85	0.0056098204857444565	79.69366289771233	74.08788119537982	73.34146915711317	0.20840830120935167	0.00549603668768807	437254.0	437254.0	150935.0	35.0	17.5	17.5	2.5
AWPhase_Phase8_PBWT_HMM_V2_forward_backward	2	chr6_25_30mb,chr6_30_35mb	16363	18313	15278	93.3691865794781	3065	0.20061526377798142	139	0.009133920357471416	79.93847362220185	74.63790258510053	73.8968152854421	0.2060169546749214	0.009224846145974946	445586.5	445586.5	159267.5	55.0	27.5	27.5	6.5
AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	2	chr6_25_30mb,chr6_30_35mb	16363	18313	15278	93.3691865794781	3065	0.20061526377798142	139	0.009133920357471416	79.93847362220185	74.63790258510053	73.8968152854421	0.2060169546749214	0.009224846145974946	445586.5	445586.5	159267.5	57.0	28.5	28.5	6.5
AWPhase_Phase8_PBWT_V2_exact_prefix	2	chr6_25_30mb,chr6_30_35mb	16363	18237	15206	92.92916946770153	3097	0.2036696041036433	68	0.004489634226858576	79.63303958963567	74.00232231253437	73.25657913472543	0.2089625351270821	0.004616384866490528	437254.0	437254.0	150935.0	38.0	19.0	19.0	3.0
AWPhase_Phase8_PBWT_V3_bidirectional_prefix	2	chr6_25_30mb,chr6_30_35mb	16363	18237	15206	92.92916946770153	3097	0.2036696041036433	68	0.004489634226858576	79.63303958963567	74.00232231253437	73.25657913472543	0.2089625351270821	0.004616384866490528	437254.0	437254.0	150935.0	41.0	20.5	20.5	3.5
WhatsHap_Illumina30x	2	chr6_25_30mb,chr6_30_35mb	16363	18153	14770	90.26462140194342	335	0.022681110358835476	154	0.01160774854903143	97.73188896411645	88.21731956242743	87.20308850922564	0.020475797760830118	0.012179376662396	1734427.0	1734427.0	1732185.0	42.0	21.0	21.0	7.0
WhatsHap_PacBio_HiFi30x	2	chr6_25_30mb,chr6_30_35mb	16363	19727	16341	99.86555032695716	97	0.005935989229545315	106	0.006501073290401717	99.40640107704547	99.27274949581373	99.21611581066449	0.006342168661242207	0.006831113948447183	924426.5	924426.5	467786.5	44.0	22.0	22.0	4.0
