split	label	method	truth_sites	variant_sites	read_backbone_phased_sites	method_phased_sites	method_filled_sites	method_panel_added_sites	method_panel_added_with_read_evidence_sites	method_panel_added_without_read_evidence_sites	method_preserved_read_sites	method_changed_read_sites	method_lost_read_sites	panel_exact_variant_sites	panel_missing_variant_sites	panel_allele_mismatch_variant_sites	panel_nonbiallelic_variant_sites	panel_needed_sites	panel_found_sites	panel_missing_needed_sites	panel_allele_mismatch_needed_records	panel_nonbiallelic_needed_records	candidate_unphased_positions	accepted_sites	panel_added_panel_exact_sites	panel_added_panel_missing_sites	panel_added_panel_allele_mismatch_sites	panel_added_panel_nonbiallelic_sites	panel_added_pct_truth_sites	panel_added_pct_method_phased_sites	panel_exact_pct_variant_sites	panel_found_pct_needed_sites
hard_chr6	chr6_25_30mb	AWPhase_Phase6C_Rust_WMEC	6076	6076	5076	5076	0	0	0	0	5076	0	0	4469	1536	71	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	73.55167873601053	0.0
hard_chr6	chr6_25_30mb	AWPhase_Phase7A_current	6076	6076	5076	5076	0	0	0	0	5076	0	0	4469	1536	71	0	8	5	3	0	0	8	0	0	0	0	0	0.0	0.0	73.55167873601053	62.5
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT	6076	6076	5076	5539	463	463	0	463	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	466	463	0	0	0	7.620144832126399	8.358909550460371	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM	6076	6076	5076	5545	469	469	0	469	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	472	469	0	0	0	7.71889400921659	8.458070333633904	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V2_exact_prefix	6076	6076	5076	5541	465	465	0	465	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	468	465	0	0	0	7.653061224489796	8.391987005955604	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	6076	6076	5076	5575	499	499	0	499	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	502	499	0	0	0	8.212639894667545	8.95067264573991	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	6076	6076	5076	5541	465	465	0	465	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	468	465	0	0	0	7.653061224489796	8.391987005955604	73.55167873601053	73.71250216750477
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	6076	6076	5076	5575	499	499	0	499	5076	0	0	4469	1536	71	0	5767	4251	1516	1404	0	1043	502	499	0	0	0	8.212639894667545	8.95067264573991	73.55167873601053	73.71250216750477
hard_chr6	chr6_30_35mb	AWPhase_Phase6C_Rust_WMEC	10287	10287	8844	8844	0	0	0	0	8844	0	0	8316	1897	74	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	80.83989501312335	0.0
hard_chr6	chr6_30_35mb	AWPhase_Phase7A_current	10287	10287	8844	8844	0	0	0	0	8844	0	0	8316	1897	74	0	22	1	21	0	0	8	0	0	0	0	0	0.0	0.0	80.83989501312335	4.545454545454546
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT	10287	10287	8844	9657	813	813	0	813	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	884	813	0	0	0	7.903178769320502	8.418763591177385	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM	10287	10287	8844	9667	823	823	0	823	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	896	823	0	0	0	8.000388840283854	8.513499534498811	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_V2_exact_prefix	10287	10287	8844	9665	821	821	0	821	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	892	821	0	0	0	7.980946826091183	8.494568028970512	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	10287	10287	8844	9703	859	859	0	859	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	934	859	0	0	0	8.35034509575192	8.85293208286097	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	10287	10287	8844	9665	821	821	0	821	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	892	821	0	0	0	7.980946826091183	8.494568028970512	80.83989501312335	69.13415495721799
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	10287	10287	8844	9703	859	859	0	859	8844	0	0	8316	1897	74	0	12739	8807	3932	1791	0	1869	934	859	0	0	0	8.35034509575192	8.85293208286097	80.83989501312335	69.13415495721799
