pos	block_id	pred_state	accepted	support	conflict	margin	confidence	panel_samples	panel_haplotypes	anchors	best_vs_second_margin	n_block_candidates
20005776	phase6_comp_4	1	0	10619.251276207811	2334.4677344598485	8284.783541747962	0.8197839761278313	4091	16364	2	3095.737708176177	3
20007310	phase6_comp_5	-1	0	11899.857129454795	5810.4421527628465	6089.414976691948	0.6719173369025485	4091	32728	4	4385.169427488959	3
20025341	phase6_comp_10	1	0	7674.244070696783	5515.735138668177	2158.508932028606	0.5818238185885862	4091	16364	2	83.34057598951767	4
20032706	phase6_comp_14	1	1	11669.582541875105	594.9134736958639	11074.66906817924	0.951493035430028	4091	16364	2	2835.8263578065	4
20038244	phase6_comp_15	1	0	13403.402052914766	3324.3122976486516	10079.089755266114	0.8012691854977376	4091	24546	3	7399.284567815222	4
20039394	phase6_comp_16	1	0	13824.553605087714	3061.567010345235	10762.98659474248	0.8186932878148971	4091	24546	3	9637.62333189035	4
20040081	phase6_comp_15	1	1	12907.842671935292	467.5545260717785	12440.288145863513	0.9650436903554951	4091	24546	3	6816.852033972077	4
20052112	phase6_comp_20	1	0	9106.802889758004	2548.1277832878723	6558.675106470132	0.781369117091286	4091	16364	2	194.39695814118295	4
20063943	phase6_comp_23	1	1	24040.719945315388	543.7442912929571	23496.97565402243	0.9778826056138625	4091	32728	4	3181.455296987184	2
20075153	phase6_comp_27	1	1	21935.15095076146	1875.4819524234808	20059.66899833798	0.9212334270974959	4091	32728	4	5356.755790171104	2
20076861	phase6_comp_28	1	1	23274.551022676773	1993.6725543131354	21280.878468363637	0.921099615561078	4091	32728	4	8706.56648241464	2
20080563	phase6_comp_28	1	0	21337.818729753053	3996.608559451086	17341.210170301965	0.842245948020535	4091	32728	4	10531.113012856822	3
20083433	phase6_comp_28	1	1	8795.513750647853	74.8046898551268	8720.709060792726	0.9915668540699103	4091	16364	2	2560.3259395030373	4
20084214	phase6_comp_29	1	0	9262.00542151028	2668.0186918476975	6593.986729662582	0.7763609975557105	4091	16364	2	133.25457967163675	4
20086483	phase6_comp_30	1	0	9672.816209445547	1769.591667181719	7903.224542263828	0.8453479646712857	4091	24546	3	1349.6084167094532	4
20088335	phase6_comp_30	1	0	10793.48136695844	3038.1908526840725	7755.2905142743675	0.7803453693495206	4091	24546	3	2113.034381606096	4
20093995	phase6_comp_32	1	1	24460.974075510465	1461.2577456272586	22999.716329883206	0.9436291691352089	4091	32728	4	11543.629396042625	3
20101560	phase6_comp_35	1	1	24046.494481056016	1934.0308510863129	22112.4636299697	0.92555843939408	4091	32728	4	9469.078323909958	2
20108159	phase6_comp_37	1	1	11878.683318201416	502.9280606487714	11375.755257552644	0.9593810494239986	4091	16364	2	1063.4694708273146	4
20108872	phase6_comp_37	1	1	13327.25317473331	551.9553386074232	12775.297836125887	0.9602314974894366	4091	16364	2	1404.1310394358225	4
20113073	phase6_comp_40	1	0	8136.987546440716	2767.320607423569	5369.666939017146	0.7462176812709679	4091	16364	2	775.3913006118582	4
20114567	phase6_comp_41	1	0	8403.203207882336	2159.7188290637305	6243.484378818605	0.7955377478400716	4091	16364	2	3567.1627148189673	4
20120434	phase6_comp_42	1	1	17284.62438098021	216.192170350783	17068.432210629428	0.9876467380983809	4091	24546	3	3669.6209613985957	4
20124153	phase6_comp_43	1	1	14299.2241703681	2393.5483348112894	11905.675835556809	0.8566116962254996	4091	24546	3	1166.2241366383914	4
20126254	phase6_comp_45	1	0	20209.894177669063	5393.43296827821	14816.461209390853	0.789346402616586	4091	32728	4	3781.7493915308787	3
20140031	phase6_comp_50	1	0	13969.87604999316	11891.560835786271	2078.3152142068884	0.5401817428665323	4091	32728	4	599.1735031427888	2
20142625	phase6_comp_50	1	1	25810.043264865926	334.66322699197246	25475.380037873954	0.9871995798806846	4091	32728	4	23332.61778274817	2
20143593	phase6_comp_50	1	1	22348.669286005923	292.59109910233235	22056.07818690359	0.9870770843086643	4091	32728	4	19511.1941449431	2
20154856	phase6_comp_54	-1	0	14693.74673901373	4700.35079527183	9993.3959437419	0.7576401383481554	4091	32728	4	9004.928068947895	3
20161647	phase6_comp_58	1	1	23626.31332438225	4111.226606525131	19515.086717857117	0.8517811378815151	4091	32728	4	8497.527925414483	2
20167669	phase6_comp_59	1	0	15719.294739821671	8523.015804342405	7196.278935479266	0.6484239491604823	4091	32728	4	5378.64229030461	2
20171526	phase6_comp_61	1	0	18941.421870598595	5642.370129739986	13299.05174085861	0.7704841413536905	4091	32728	4	8344.65771718316	3
20182570	phase6_comp_63	-1	0	18205.982470489198	6945.02410752117	11260.958362968027	0.7238669519655235	4091	32728	4	5365.18309541149	2
20186003	phase6_comp_64	1	0	22250.571521405705	4294.21702907572	17956.354492329985	0.8382274915880678	4091	32728	4	1685.540457740708	2
20209812	phase6_comp_67	1	0	6286.991517638677	1499.648415675323	4787.343101963354	0.8074075045823942	4091	16364	2	669.6328730856958	3
20214431	phase6_comp_67	-1	0	11481.386002285357	2415.2528015974194	9066.133200687938	0.8261987783029529	4091	16364	2	1233.5007768652576	3
20217401	phase6_comp_68	1	0	13071.270920508467	7875.341025286857	5195.9298952216095	0.6240279313109776	4091	24546	3	2131.456096611766	4
20223805	phase6_comp_70	1	0	20656.691135092293	5555.014534208319	15101.676600883973	0.7880712303009566	4091	32728	4	2996.3585315081673	2
20238932	phase6_comp_73	-1	0	3729.076148698537	3152.101483267927	576.97466543061	0.5419241223152181	4091	16364	2	252.7568919117134	3
20240432	phase6_comp_74	-1	0	4348.438558075469	3055.295932326083	1293.1426257493858	0.5873304294897298	4091	16364	2	786.7676000082888	3
20241241	phase6_comp_73	1	0	4054.939454734425	1707.234012315122	2347.705442419303	0.7037170050367659	4091	16364	2	1648.8092755930677	4
20247002	phase6_comp_76	-1	0	5001.985654664085	3397.5637344365327	1604.4219202275522	0.5955064281370542	4091	32728	4	1005.5604948741907	3
20252666	phase6_comp_76	-1	0	7493.07118464387	4353.691553310064	3139.379631333806	0.6324994726734947	4091	32728	4	2786.857343427038	3
20253913	phase6_comp_76	-1	0	8280.082585047012	4744.051219291628	3536.0313657553843	0.6357491952584767	4091	32728	4	3213.9472926850603	3
