split	label	method	n_truth_het_sites_in_bed	n_pred_sites_nonzero	n_exact_overlap_sites_phased	pct_truth_sites_phased	hamming_errors	hamming_denominator	hamming_error_rate	switch_errors	switch_denominator	switch_error_rate	phased_site_accuracy_pct	truth_correct_pct	raw_block_n50_bp	median_block_span_bp	phasing_coverage_pct	path
train	chr1_15_20mb	AWPhase_Phase6C_Rust_WMEC	5574	4398	3861	0.6926803013993541	7	3861	0.001813001813001813	10	3128	0.00319693094629156	99.81869981869981	69.14244707570865	1594	561	69.26803013993542	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_15_20mb	AWPhase_Phase7A_current	5574	4696	4119	0.7389666307857912	20	4119	0.004855547462976451	23	3386	0.006792675723567632	99.51444525370235	73.5378543236455	3667	787	73.89666307857912	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_15_20mb	AWPhase_Phase8_PBWT	5574	5396	4786	0.8586293505561535	13	4786	0.0027162557459256163	13	4053	0.0032075006168270415	99.72837442540744	85.6297093649085	8894	876	85.86293505561535	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_15_20mb	AWPhase_Phase8_PBWT_HMM	5574	5398	4788	0.8589881593110872	13	4788	0.0027151211361737676	13	4055	0.0032059186189889025	99.72848788638262	85.66559024040187	8959	876	85.89881593110871	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_15_20mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5574	5401	4792	0.8597057768209544	15	4792	0.0031302170283806345	16	4059	0.003941857600394186	99.68697829716193	85.70147111589522	10876	764	85.97057768209544	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_15_20mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5574	5426	4817	0.8641908862576246	16	4817	0.003321569441561138	17	4084	0.00416258570029383	99.66784305584389	86.13204162181557	11327	801	86.41908862576247	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_15_20mb	WhatsHap_Illumina30x	5574	5496	4853	0.8706494438464298	175	4853	0.036060168967648874	147	4012	0.03664007976071785	96.39398310323512	83.92536777897381	1734	585	87.06494438464298	baselines/whatshap/chr1_15_20mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_15_20mb	WhatsHap_PacBio_HiFi30x	5574	6633	5566	0.9985647649802655	26	5566	0.004671218109953288	35	5556	0.006299496040316775	99.53287818900466	99.39002511661285	617203	306594	99.85647649802655	baselines/whatshap/chr1_15_20mb_whatshap_pacbio/truth_eval.metrics.json
train	chr1_20_25mb	AWPhase_Phase6C_Rust_WMEC	5409	3478	3403	0.6291366241449436	13	3403	0.003820158683514546	11	2592	0.004243827160493827	99.61798413164854	62.67332224070993	1284	506	62.91366241449436	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_20_25mb	AWPhase_Phase7A_current	5409	3798	3721	0.6879275281937511	23	3721	0.006181134103735555	25	2910	0.00859106529209622	99.38188658962645	68.36753558883343	4013	807	68.79275281937511	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_20_25mb	AWPhase_Phase8_PBWT	5409	4604	4515	0.8347199112590128	15	4515	0.0033222591362126247	13	3704	0.003509719222462203	99.66777408637874	83.19467554076539	8838	1013	83.47199112590127	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_20_25mb	AWPhase_Phase8_PBWT_HMM	5409	4612	4523	0.8361989277130708	14	4523	0.0030952907362370107	13	3712	0.003502155172413793	99.69047092637629	83.36106489184692	9296	1013	83.61989277130708	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_20_25mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5409	4626	4537	0.8387872065076724	16	4537	0.003526559400484902	13	3726	0.003488996242619431	99.64734405995152	83.58291735995563	11886	819	83.87872065076724	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_20_25mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5409	4647	4558	0.8426696246995747	15	4558	0.003290917068889864	13	3747	0.003469442220443021	99.67090829311101	83.9896468848216	12078	849	84.26696246995748	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_20_25mb	WhatsHap_Illumina30x	5409	4683	4552	0.8415603623590312	253	4552	0.055579964850615116	169	3602	0.04691837867851194	94.44200351493849	79.47864669994453	1476	559	84.15603623590313	baselines/whatshap/chr1_20_25mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_20_25mb	WhatsHap_PacBio_HiFi30x	5409	5541	5400	0.9983361064891847	14	5400	0.0025925925925925925	25	5387	0.004640801930573603	99.74074074074075	99.57478276945831	1290036	128944	99.83361064891847	baselines/whatshap/chr1_20_25mb_whatshap_pacbio/truth_eval.metrics.json
train	chr1_55_60mb	AWPhase_Phase6C_Rust_WMEC	5542	3893	3804	0.686394803320101	11	3804	0.0028916929547844372	11	2874	0.003827418232428671	99.71083070452156	68.44099603031395	1222	538	68.63948033201011	results/phase7a_windows/chr1_55_60mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
