label	source_window	pos	block_id	candidate_accepted_by_rule	pred_state	truth_state	block_orientation	oriented_pred_state	panel_confidence	panel_margin	panel_support	panel_conflict	support_conflict_ratio	panel_samples	panel_haplotypes	anchors	best_vs_second_margin	n_block_candidates
1	chr20_25_30mb_illumina30x_phase7a	25002155	phase6_comp_2	1	1	-1	-1	-1	0.9754645211489384	20725.059962155876	21259.7994093387	534.7394471828212	39.68496163786021	4091.0	32728.0	4.0	11999.222915372495	2.0
1	chr20_25_30mb_illumina30x_phase7a	25006802	phase6_comp_2	1	1	-1	-1	-1	0.992398033856664	24265.971394303517	24453.288443002733	187.31704869921646	129.857007700145	4091.0	32728.0	4.0	24265.971394303517	1.0
0	chr20_25_30mb_illumina30x_phase7a	25013429	phase6_comp_2	1	-1	-1	-1	1	0.8666107869661693	9042.179754097122	10687.152139512438	1644.9723854153156	6.49351850263003	4091.0	32728.0	4.0	9042.179754097122	1.0
0	chr20_25_30mb_illumina30x_phase7a	25019181	phase6_comp_2	1	-1	-1	-1	1	0.8672363246623758	6318.487956638322	7460.621274292891	1142.1333176545681	6.527341263748943	4091.0	32728.0	4.0	6318.487956638322	1.0
1	chr20_25_30mb_illumina30x_phase7a	25045430	phase6_comp_3	0	-1	1	-1	1	0.7006751389020829	10394.951963225401	18147.450776818274	7752.4988135928725	2.3406788616516874	4091.0	32728.0	4.0	10394.951963225401	1.0
0	chr20_25_30mb_illumina30x_phase7a	25079507	phase6_comp_15	0	1	-1	1	1	0.7411052293648528	12210.40620689213	18766.07138807244	6555.6651811803085	2.862289116415436	4091.0	32728.0	4.0	7068.307159265427	2.0
1	chr20_25_30mb_illumina30x_phase7a	25086647	phase6_comp_16	0	-1	-1	1	-1	0.7424550329191117	10870.833766288733	16644.540524965698	5773.7067586769645	2.8824910459660007	4091.0	32728.0	4.0	6704.205442644561	3.0
1	chr20_25_30mb_illumina30x_phase7a	25095062	phase6_comp_17	1	-1	1	-1	1	0.9372770470611836	8062.84134440971	8641.1077107756	578.2663663658896	14.919056607745238	4091.0	16364.0	2.0	3411.2277054539554	4.0
1	chr20_25_30mb_illumina30x_phase7a	25095963	phase6_comp_17	1	-1	1	-1	1	0.9099608966267212	6861.771913393365	7615.29230487162	753.5203914782549	10.094216658544902	4091.0	16364.0	2.0	1959.6366820771627	4.0
1	chr20_25_30mb_illumina30x_phase7a	25098121	phase6_comp_19	0	1	-1	-1	-1	0.8252751755273182	5903.997415054495	7489.693142311011	1585.695727256516	4.720938623350824	4091.0	16364.0	2.0	2593.8992601838427	4.0
1	chr20_25_30mb_illumina30x_phase7a	25107411	phase6_comp_19	0	-1	1	-1	1	0.8230702972314052	5146.379154184884	6555.588453039472	1409.2092988545883	4.649372584881491	4091.0	16364.0	2.0	2364.4402407540547	4.0
1	chr20_25_30mb_illumina30x_phase7a	25108196	phase6_comp_21	0	1	-1	-1	-1	0.7779879179819628	8246.429108945205	11539.390380394896	3292.9612714496907	3.5034991092399537	4091.0	16364.0	2.0	936.9274308933909	4.0
