split	label	method	truth_sites	variant_sites	read_backbone_phased_sites	method_phased_sites	method_filled_sites	method_panel_added_sites	method_panel_added_with_read_evidence_sites	method_panel_added_without_read_evidence_sites	method_preserved_read_sites	method_changed_read_sites	method_lost_read_sites	panel_exact_variant_sites	panel_missing_variant_sites	panel_allele_mismatch_variant_sites	panel_nonbiallelic_variant_sites	panel_needed_sites	panel_found_sites	panel_missing_needed_sites	panel_allele_mismatch_needed_records	panel_nonbiallelic_needed_records	candidate_unphased_positions	accepted_sites	panel_added_panel_exact_sites	panel_added_panel_missing_sites	panel_added_panel_allele_mismatch_sites	panel_added_panel_nonbiallelic_sites	panel_added_pct_truth_sites	panel_added_pct_method_phased_sites	panel_exact_pct_variant_sites	panel_found_pct_needed_sites
hard_chr6	chr6_25_30mb	AWPhase_Phase6C_Rust_WMEC	6076	6076	4208	4208	0	0	0	0	4208	0	0	4469	1536	71	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	73.55167873601053	0.0
hard_chr6	chr6_25_30mb	AWPhase_Phase7A_current	6076	6076	4208	4477	269	269	0	269	4208	0	0	4469	1536	71	0	2435	1989	446	111	0	888	269	269	0	0	0	4.427254772876893	6.008487826669644	73.55167873601053	81.68377823408625
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT	6076	6076	4208	5132	924	924	0	924	4208	0	0	4469	1536	71	0	5565	4241	1324	1345	0	1923	927	924	0	0	0	15.2073732718894	18.004676539360872	73.55167873601053	76.20844564240791
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM	6076	6076	4208	5137	929	929	0	929	4208	0	0	4469	1536	71	0	5565	4241	1324	1345	0	1923	932	929	0	0	0	15.289664252797893	18.08448510803971	73.55167873601053	76.20844564240791
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V2_exact_prefix	6076	6076	4208	5146	938	938	0	938	4208	0	0	4469	1536	71	0	5565	4241	1324	1345	0	1923	941	938	0	0	0	15.43778801843318	18.227749708511464	73.55167873601053	76.20844564240791
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	6076	6076	4208	5172	964	964	0	964	4208	0	0	4469	1536	71	0	5565	4241	1324	1345	0	1923	967	964	0	0	0	15.86570111915734	18.638824439288477	73.55167873601053	76.20844564240791
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	6076	6076	4208	5146	938	938	0	938	4208	0	0	4469	1536	71	0	5565	4241	1324	1345	0	1923	941	938	0	0	0	15.43778801843318	18.227749708511464	73.55167873601053	76.20844564240791
hard_chr6	chr6_25_30mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	6076	6076	4208	5172	964	964	0	964	4208	0	0	4469	1536	71	0	5565	4241	1324	1345	0	1923	967	964	0	0	0	15.86570111915734	18.638824439288477	73.55167873601053	76.20844564240791
hard_chr6	chr6_30_35mb	AWPhase_Phase6C_Rust_WMEC	10287	10287	8207	8207	0	0	0	0	8207	0	0	8316	1897	74	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	80.83989501312335	0.0
hard_chr6	chr6_30_35mb	AWPhase_Phase7A_current	10287	10287	8207	8428	221	221	0	221	8207	0	0	8316	1897	74	0	2133	1826	307	123	0	645	222	221	0	0	0	2.148342568290075	2.6222116753678217	80.83989501312335	85.60712611345522
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT	10287	10287	8207	9401	1194	1194	0	1194	8207	0	0	8316	1897	74	0	12722	8802	3920	1719	0	2506	1267	1194	0	0	0	11.606882473024205	12.7007765131369	80.83989501312335	69.18723471152335
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM	10287	10287	8207	9414	1207	1207	0	1207	8207	0	0	8316	1897	74	0	12722	8802	3920	1719	0	2506	1281	1207	0	0	0	11.733255565276563	12.82132993414064	80.83989501312335	69.18723471152335
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_V2_exact_prefix	10287	10287	8207	9412	1205	1205	0	1205	8207	0	0	8316	1897	74	0	12722	8802	3920	1719	0	2506	1279	1205	0	0	0	11.713813551083891	12.802804929876753	80.83989501312335	69.18723471152335
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	10287	10287	8207	9439	1232	1232	0	1232	8207	0	0	8316	1897	74	0	12722	8802	3920	1719	0	2506	1308	1232	0	0	0	11.976280742684942	13.052230109121728	80.83989501312335	69.18723471152335
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_V3_bidirectional_prefix	10287	10287	8207	9412	1205	1205	0	1205	8207	0	0	8316	1897	74	0	12722	8802	3920	1719	0	2506	1279	1205	0	0	0	11.713813551083891	12.802804929876753	80.83989501312335	69.18723471152335
hard_chr6	chr6_30_35mb	AWPhase_Phase8_PBWT_HMM_V3_bidirectional_forward_backward	10287	10287	8207	9439	1232	1232	0	1232	8207	0	0	8316	1897	74	0	12722	8802	3920	1719	0	2506	1308	1232	0	0	0	11.976280742684942	13.052230109121728	80.83989501312335	69.18723471152335
